Ticker,Buy/Sell,Date,Price,P/E Ratio,Fwd P/E Ratio,P/B Ratio,RSI,Upper BB,Bollinger %b,Lower BB,vol,Z Score,MACD,VWAP, OBV,Stoch,Awesome Oscillator,Ultimate Oscillator,TSI,Acum/Dist
LOW,Buy,2022-03-28,211.38,0,0,0,24.99974885,236.8839112,0.015207891,213.1270888,5.939205578,-1.890067595,-1.421896971,224.9112284,14270300,20.54927302,-4.856617647,44.31113961,-7.710223293,5915957.806
HCA,Buy,2022-04-01,251,0,0,0,24.21198843,271.2197482,-0.048256552,251.4302518,4.947374104,-2.137497545,-2.154089139,261.2148015,-2618000,1.950718686,1.286617647,41.99532055,-1.470882778,371708.7984
HAS,Buy,2022-04-01,82.34,0,0,0,43.78688975,91.90280044,0.220006866,82.26019956,2.410650218,-1.091614196,-0.277935668,86.38087587,519400,35.11205977,-6.482647059,47.00823975,-15.53273929,-3451806.679
WHR,Buy,2022-04-01,174.75,12.446736,7.277964,2.530213,24.35645065,199.9533652,-0.036276705,173.0506348,6.725682591,-2.090791501,-1.231613778,185.1511536,-5783400,11.82795699,-12.96976471,37.62949696,-25.49906498,-12596351.76
NVR,Buy,2022-04-01,4519.58,16.447369,15.332489,5.5813212,33.83418852,5013.113558,0.081577436,4482.502442,132.652779,-1.631311471,-19.23767667,4751.615029,-165400,12.23778843,-182.6847647,40.03188937,-15.51540174,-141081.0514
C,Buy,2022-04-01,53.47,14.210396,8.040616,0.58161443,18.52327058,58.47261505,-0.108750225,52.85438495,1.404557525,-2.373345299,-0.050817264,55.84149124,-284860300,8.641975309,-3.483588235,38.08133599,-19.67055077,-100469250.9
HD,Buy,2022-04-01,300.5,24.571428,22.557377,352.82053,29.24747836,340.8113054,0.074718923,298.2516946,10.63990269,-1.658050879,-1.483386343,318.6988488,-23110800,7.168458781,-15.17002941,41.57415521,-22.2325583,-11620731.1
BBY,Buy,2022-04-01,92.32,13.450705,11.352155,5.40273,27.79984538,95.58061698,-0.038573676,83.37438302,3.051558489,-2.099746744,-0.717378429,94.11136338,12824600,-47.47622531,-2.959970588,-6.255574151,-4.564035855,-635808993.1
AOS,Buy,2022-04-01,64.62,23.11924,19.702078,6.823708,46.39108717,66.29327534,0.309436722,62.19072466,1.025637671,-0.74295243,0.060800923,65.70944464,-8126100,-4.294478528,-1.839970588,0.876976634,-23.32069746,-150775200.5
BLDR,Buy,2022-04-01,65.34,16.125523,13.162568,4.962019,26.85575182,79.99410182,0.020145332,63.67289818,4.080300911,-1.870817904,-1.232146295,71.11268726,-1543100,2.505077861,-3.696058824,38.03567708,-3.221355129,-1541091.163
CVS,Buy,2022-04-01,101.21,11.737249,8.245386,1.2792265,21.18451541,110.248373,0.038850689,100.602627,2.411436512,-1.797890999,-0.651518768,105.6210778,-36425600,8.413205538,-0.296735294,46.67495333,-6.277569106,5124344.819
WBA,Buy,2022-04-01,44.54,32.636364,6.0505624,0.95330834,16.32266117,49.27032186,-0.301560067,45.04767814,1.05566093,-3.12505645,-0.267833535,46.41341099,-46091600,12.5,-0.684558824,41.12351314,-13.78543626,2948652.14
DHI,Buy,2022-04-01,75.64,11.002162,9.82058,2.1909928,37.78180354,85.66112953,0.118862692,74.78187047,2.719814767,-1.485946782,-0.418905136,79.879675,7079500,14.71600688,-3.726764706,48.37913731,-14.63281863,-14677460.26
PHM,Buy,2022-04-01,42.62,9.458191,8.613053,2.2692378,31.64284557,49.01949592,0.042679578,41.98850408,1.757747961,-1.78296324,-0.264663883,45.1759458,3683000,7.994186047,-2.946529412,44.01840394,-17.67594679,-5120477.949
