,symbol,buy_date,buy_price,sell_date,sell_price,shares,profit,profit_percent
0,SMCI,2022-03-31,39.56,2022-05-05,56.65,1100.0,18798.999999999996,43.20020222446915
1,LOW,2022-03-28,211.38,2022-07-21,191.24,206.0,-4148.839999999997,-9.527864509414318
2,UBER,2022-05-05,27.87,2022-07-21,24.02,1561.0,-6009.850000000002,-13.81413706494439
3,ALL,2022-07-22,116.12,2022-08-12,127.66,375.0,4327.499999999997,9.93799517740268
4,PHM,2022-04-01,42.62,2022-11-11,43.82,1021.0,1225.200000000003,2.8155795401220156
5,VZ,2022-07-21,47.63,2022-11-11,38.55,913.0,-8290.040000000005,-19.06361536846526
6,CTLT,2022-08-22,104.0,2022-12-01,50.44,418.0,-22388.08,-51.5
7,HSY,2022-11-14,220.26,2023-02-03,235.16,197.0,2935.300000000001,6.764732588758742
8,CVX,2023-02-03,169.86,2023-04-04,171.14,256.0,327.679999999993,0.7535617567408293
9,TT,2023-04-05,172.71,2023-05-02,187.42,252.0,3706.9199999999946,8.517167506224293
10,HII,2022-11-14,227.3,2023-06-05,208.63,191.0,-3565.970000000003,-8.213814342278933
11,CMG,2023-06-08,2014.26,2023-06-30,2125.0,22.0,2436.28,5.497800681143448
12,ADM,2022-12-02,91.01,2023-07-05,76.46,478.0,-6954.900000000005,-15.987254147895849
13,FE,2023-05-02,38.98,2023-07-14,39.63,1116.0,725.4000000000063,1.6675218060544017
14,MU,2023-07-03,63.44,2023-07-28,71.58,686.0,5584.04,12.831021437578816
15,BBWI,2023-07-17,35.22,2023-08-07,38.03,1235.0,3470.3500000000026,7.978421351504833
16,SBUX,2023-07-07,95.99,2023-11-03,100.62,453.0,2097.3900000000044,4.823419106156901
17,PM,2023-08-07,96.57,2023-11-24,94.0,450.0,-1156.4999999999968,-2.661281971626792
18,EW,2023-07-28,82.94,2023-12-13,72.07,524.0,-5695.880000000003,-13.105859657583801
19,GIS,2023-11-29,63.35,2023-12-14,68.07,687.0,3242.6399999999944,7.450670876085227
20,PGR,2023-12-15,151.68,2024-01-25,178.41,287.0,7671.5099999999975,17.622626582278475
