Ticker,Buy/Sell,Date,Price
CSX,Buy,2024-03-27,36.34
MDLZ,Buy,2024-03-27,70.05
UPS,Buy,2024-03-27,144.39
ES,Buy,2024-03-27,56.91
CNP,Buy,2024-03-27,27.45
NSC,Buy,2024-03-26,248
STE,Buy,2024-03-26,221.38
EL,Buy,2024-03-26,140.12
YUM,Buy,2024-03-26,135.09
JKHY,Buy,2024-03-25,169.29
LULU,Buy,2024-03-25,405.09
CTSH,Buy,2024-03-22,72.61
ACN,Buy,2024-03-22,350.33
DRI,Buy,2024-03-22,164.1
ULTA,Buy,2024-03-21,523.96
EQIX,Buy,2024-03-21,825
TMUS,Buy,2024-03-20,160.68
JBHT,Buy,2024-03-19,191.75
JNJ,Buy,2024-03-19,156.67
INCY,Buy,2024-03-19,57.7
ABT,Buy,2024-03-19,112.44
MPWR,Buy,2024-03-19,663
EPAM,Buy,2024-03-19,293.67
JNPR,Buy,2024-03-18,36.55
NWS,Buy,2024-03-18,26.57
JBL,Buy,2024-03-18,124.12
INTU,Buy,2024-03-18,630.19
ICE,Buy,2024-03-18,135.12
UNP,Buy,2024-03-18,245.06
NWSA,Buy,2024-03-18,25.65
CNC,Buy,2024-03-18,75.48
REG,Buy,2024-03-15,58.52
LH,Buy,2024-03-15,206.37
ILMN,Buy,2024-03-15,127.5
ENPH,Buy,2024-03-15,109.08
IDXX,Buy,2024-03-14,540.68
AAL,Buy,2024-03-13,13.92
LUV,Buy,2024-03-13,28.73
GL,Buy,2024-03-11,123.19
TJX,Buy,2024-03-08,95.82
BF-B,Buy,2024-03-08,54.83
MTCH,Buy,2024-03-07,33.8
SBUX,Buy,2024-03-06,91.35
TYL,Buy,2024-03-06,422.35
PAYX,Buy,2024-03-06,120.12
PEP,Buy,2024-03-06,162.06
MRK,Buy,2024-03-05,124.68
NKE,Buy,2024-03-05,99
ADP,Buy,2024-03-05,246.35
ETSY,Buy,2024-03-05,67.4
LVS,Buy,2024-03-05,50.28
MO,Buy,2024-03-05,39.91
ALL,Buy,2024-03-04,154.32
DAY,Buy,2024-03-04,67.98
GOOGL,Buy,2024-02-29,137.28
GOOG,Buy,2024-02-29,138.35
RMD,Buy,2024-02-29,174.43
HSY,Buy,2024-02-28,187.32
KDP,Buy,2024-02-26,30.05
TFX,Buy,2024-02-23,238.98
KEYS,Buy,2024-02-22,145.84
VRSK,Buy,2024-02-22,238.28
PANW,Buy,2024-02-22,274.13
IFF,Buy,2024-02-22,76.78
NTAP,Buy,2024-02-22,85.66
EXPD,Buy,2024-02-21,115.9
ORCL,Buy,2024-02-21,106.76
ADBE,Buy,2024-02-20,531.5
WDC,Buy,2024-02-20,53.96
ROL,Buy,2024-02-16,41.71
SJM,Buy,2024-02-15,124.74
AKAM,Buy,2024-02-15,114.2
BR,Buy,2024-02-14,194.66
ED,Buy,2024-02-14,87.04
BK,Buy,2024-02-14,54.39
MDT,Buy,2024-02-14,83.67
WEC,Buy,2024-02-14,76.36
ADI,Buy,2024-02-14,185.91
EPAM,Buy,2024-02-14,276.7
KIM,Buy,2024-02-14,19.56
MU,Buy,2024-02-14,82.18
BIIB,Buy,2024-02-14,227.01
MCO,Buy,2024-02-14,370
SPGI,Buy,2024-02-13,421.84
