,Ticker,Buy/Sell,Date,Price
7,LNT,Sell,2024-04-01,50.61
5,EIX,Sell,2024-04-01,70.58
5,AWK,Sell,2024-04-01,122.44
5,NEM,Sell,2024-04-01,36.96
3,WBA,Sell,2024-04-01,21.57
5,CPB,Sell,2024-04-01,44.5
5,AMGN,Sell,2024-03-28,287.86
5,MRK,Sell,2024-03-28,132.0
5,MDT,Sell,2024-03-28,87.1
5,O,Sell,2024-03-28,53.62
3,FOX,Sell,2024-03-28,28.65
3,BWA,Sell,2024-03-28,34.7
3,DOC,Sell,2024-03-28,18.35
3,IVZ,Sell,2024-03-28,16.5
5,TJX,Sell,2024-03-28,101.22
3,AES,Sell,2024-03-28,17.33
3,CMA,Sell,2024-03-28,54.54
3,MKC,Sell,2024-03-27,77.75
3,LW,Sell,2024-03-27,106.2
5,KDP,Sell,2024-03-26,30.44
5,KHC,Sell,2024-03-25,35.88
7,LULU,Sell,2024-03-22,416.25
3,BK,Sell,2024-03-22,57.29
5,TTWO,Sell,2024-03-22,152.67
5,FOXA,Sell,2024-03-22,30.58
3,STT,Sell,2024-03-22,76.07
3,MCO,Sell,2024-03-22,397.52
3,LMT,Sell,2024-03-21,441.36
3,PARA,Sell,2024-03-21,12.57
3,RCL,Sell,2024-03-21,136.79
3,CVS,Sell,2024-03-21,78.59
3,NOC,Sell,2024-03-20,468.63
3,CAG,Sell,2024-03-20,29.1
3,DE,Sell,2024-03-20,390.77
5,IP,Sell,2024-03-20,39.11
5,GOOGL,Sell,2024-03-19,148.16
7,PEP,Sell,2024-03-19,171.1
5,GOOG,Sell,2024-03-19,148.98
3,ALL,Sell,2024-03-18,161.33
5,ITW,Sell,2024-03-18,269.0
5,PFG,Sell,2024-03-18,82.6
3,MKTX,Sell,2024-03-14,225.12
7,NEE,Sell,2024-03-14,59.2
5,PYPL,Sell,2024-03-14,62.51
3,APA,Sell,2024-03-14,32.75
3,DGX,Sell,2024-03-13,130.0
5,ADM,Sell,2024-03-13,57.5
3,ORCL,Sell,2024-03-13,128.0
3,WRK,Sell,2024-03-13,46.97
5,HSY,Sell,2024-03-12,198.75
5,DD,Sell,2024-03-12,72.29
3,SWK,Sell,2024-03-12,92.25
5,EMN,Sell,2024-03-12,91.75
3,MRNA,Sell,2024-03-12,112.0
5,IPG,Sell,2024-03-12,33.0
3,FCX,Sell,2024-03-12,40.67
5,EG,Sell,2024-03-12,379.04
5,EOG,Sell,2024-03-12,120.82
3,PFE,Sell,2024-03-12,28.31
5,SRE,Sell,2024-03-12,72.2
3,XOM,Sell,2024-03-11,108.25
3,PM,Sell,2024-03-11,92.91
3,SBAC,Sell,2024-03-11,221.27
3,MO,Sell,2024-03-11,41.98
5,PXD,Sell,2024-03-11,242.72
5,TAP,Sell,2024-03-11,64.73
5,MMM,Sell,2024-03-11,78.58
3,PSA,Sell,2024-03-11,293.5
5,HON,Sell,2024-03-08,203.13
5,AMCR,Sell,2024-03-08,9.42
5,CPAY,Sell,2024-03-08,293.0
5,RMD,Sell,2024-03-08,192.0
7,DUK,Sell,2024-03-08,94.48
3,MET,Sell,2024-03-08,72.34
3,TER,Sell,2024-03-08,110.56
3,MAA,Sell,2024-03-08,133.95
1,PNW,Sell,2024-03-08,71.4
5,SNA,Sell,2024-03-08,295.95
1,HAL,Sell,2024-03-08,36.19
3,SLB,Sell,2024-03-08,50.69
3,OMC,Sell,2024-03-08,92.09
3,KVUE,Sell,2024-03-08,19.69
5,ROK,Sell,2024-03-08,296.49
3,HPQ,Sell,2024-03-07,30.36
3,UPS,Sell,2024-03-07,153.23
1,AFL,Sell,2024-03-07,82.35
7,ED,Sell,2024-03-07,90.76
5,CPT,Sell,2024-03-07,98.49
3,WEC,Sell,2024-03-07,81.81
1,BKR,Sell,2024-03-07,30.64
5,KEY,Sell,2024-03-06,14.94
3,FMC,Sell,2024-03-06,60.3
3,MTB,Sell,2024-03-06,142.95
3,USB,Sell,2024-03-06,43.06
3,CFG,Sell,2024-03-06,33.66
3,CCI,Sell,2024-03-05,112.41
3,MS,Sell,2024-03-05,89.19
3,NTRS,Sell,2024-03-05,83.67
3,HPE,Sell,2024-03-05,17.01
5,AVB,Sell,2024-03-05,184.11
3,HBAN,Sell,2024-03-05,13.34
3,ESS,Sell,2024-03-05,241.83
7,INTC,Sell,2024-03-05,44.56
3,RF,Sell,2024-03-05,18.95
3,UDR,Sell,2024-03-05,37.16
3,EXR,Sell,2024-03-05,146.62
5,REG,Sell,2024-03-05,62.77
5,AOS,Sell,2024-03-05,84.86
5,PNC,Sell,2024-03-05,153.32
3,KMB,Sell,2024-03-05,123.78
5,BR,Sell,2024-03-05,205.28
1,COP,Sell,2024-03-04,114.04
7,NTAP,Sell,2024-03-04,106.0
5,WDC,Sell,2024-03-04,65.0
3,SCHW,Sell,2024-03-01,66.62
