,Ticker,Buy Date,Buy Price,Buy P/E Ratio,Buy Fwd P/E Ratio,Buy P/B Ratio,Buy RSI,Buy Upper BB,Buy Bollinger %b,Buy Lower BB,Buy vol,Buy Z Score,Buy MACD,Buy VWAP,Buy OBV,Buy Stoch,Buy Awesome Oscillator,Buy Ultimate Oscillator,Buy TSI,Buy Acum/Dist,Sell Date,Sell Price,Sell P/E Ratio,Sell Fwd P/E Ratio,Sell P/B Ratio,Sell RSI,Sell Upper BB,Sell Bollinger %b,Sell Lower BB,Sell vol,Sell Z Score,Sell MACD,Sell VWAP,Sell OBV,Sell Stoch,Sell Awesome Oscillator,Sell Ultimate Oscillator,Sell TSI,Sell Acum/Dist,Profit,Profit %,Duration,Ticker Cum Profit,Ticker Cum Profit %,Profitable
0,MMM,2023-07-07,80.43,0.0,0.0,0.0,37.06793224357267,82.71139899431724,0.10475565936445995,76.14660100568277,1.6411994971586157,-1.5409461216496938,-0.3536409736520779,82.13902939292363,-9492053,-38.639281129653256,-0.486294117647077,-3.20753175982493,-3.3423482080301,-1730370946.4567363,2023-07-26,91.84,0.0,0.0,0.0,91.62577039265481,87.00608003939007,1.1762594960477009,74.28791996060994,3.1795400196950316,2.6365448926804382,0.8728023886186554,85.31901606219759,11812893,61.00495399858456,4.128970588235305,15.650354884074767,23.891589508805815,-2021043351.0339828,11.409999999999997,14.19,19,11.409999999999997,14.19,Yes
1,MMM,2023-09-26,78.9,0.0,0.0,0.0,11.651657360790892,89.68230574173201,-0.004406337529662618,75.420694258268,3.5654028708659995,-1.9665379352479675,-0.9386793187699836,83.592907047504,-50475381,-21.591804570527938,-4.473294117647072,-18.18318119158807,-21.29685588635977,-2990196696.537984,2023-11-06,78.45,0.0,0.0,0.0,70.91719672872932,75.56988318906785,0.9651180542630718,68.71411681093217,1.7139415945339198,1.8133640083839397,0.832087414380098,73.9385633436431,-86338396,49.11616161616161,0.9078529411764578,9.36846343011282,-5.018806865678891,-3489742682.560808,-0.45000000000000284,-0.57,41,10.959999999999994,13.63,No
2,MMM,2024-01-24,80.8,0.0,0.0,0.0,10.73445210649065,94.77291815289982,-0.311989271880195,80.57708184710017,3.5489590764499144,-3.1657169772829743,-1.497895309789545,84.57752738149472,-96333963,-7.475994513031575,-2.690970588235288,-1.9881211855156893,-9.030135510353041,-4063855849.318637,2024-03-11,78.58,0.0,0.0,0.0,72.54500697895259,78.5018167552681,1.0617480781538915,75.59418324473191,0.7269083776340473,2.190097196543071,0.4698076392841536,77.16246738425393,-90305885,83.98876404494396,-0.13652941176469824,53.3650386997743,-9.388057175689118,-4238626113.36054,-2.219999999999999,-2.75,47,8.739999999999995,10.87,No
0,AOS,2023-08-21,68.87,23.433605,19.969978,6.9164934,11.277110614643561,74.79181578442379,0.017214074007690344,68.07218421557619,1.6799078922119024,-1.8822460532860807,-0.5222468797454555,71.4646997197672,-7303500,2.1069692058346097,-2.9575882352941107,-11.815396240697064,-20.311896118708166,-132573986.00682557,2023-10-11,69.26,23.433605,19.969978,6.9164934,85.75886975982681,69.26864514794704,1.206747767806847,62.85435485205295,1.6035725739735218,2.7554100585864516,0.7067047392883664,66.4009790024174,-8470300,90.31339031339041,-0.29702941176472564,35.764833932106185,-3.42186123847582,-164814717.08754078,0.39000000000000057,0.57,51,0.39000000000000057,0.57,Yes
1,AOS,2024-02-01,78.3,23.433605,19.969978,6.9164934,46.47525771727768,82.17836706396857,0.36403168778123135,78.05463293603144,1.0309335319842814,-0.5301020706428446,-0.3399493266136543,80.09652551922252,1852200,48.17518248175167,-0.8629999999999995,42.5752010023549,3.8639405908070557,-202183671.91403025,2024-03-05,84.86,23.433605,19.969978,6.9164934,62.381019365088484,84.75306522546593,0.8552195641534281,77.83993477453409,1.7282826127329605,1.3849008156224576,0.3791216035893399,81.95714140414954,8471300,70.36474164133733,2.819617647058834,59.81277309042654,18.152697178992412,-199072867.51350018,6.560000000000002,8.38,33,6.950000000000003,10.09,Yes
0,ABT,2023-09-06,101.01,34.4908,22.090374,5.0509863,33.39846374369931,105.5870405266061,0.01747152006168842,100.3649594733939,1.3055202633030532,-1.881242343788797,-0.21101771252004875,103.30481784604093,18467000,11.82965299684542,-4.148970588235301,0.9462724601415113,-22.45286301948895,-977962266.4455521,2023-11-16,97.72,34.4908,22.090374,5.0509863,84.13372961880351,98.36928844247281,1.2161394181457283,91.24471155752717,1.7811442212364124,2.7920254523510275,0.6839637945230164,95.32431214421253,2537600,93.45579793340994,1.5753529411764617,43.35626997093514,6.7185623187283845,-1223296764.1392326,-3.2900000000000063,-3.26,71,-3.2900000000000063,-3.26,No
0,ABBV,2023-06-02,133.71,62.551468,13.93448,28.999489,38.75064866525591,146.9691613542857,0.16236381446672846,129.83083864571432,4.2845806771428405,-1.3163481855034251,-0.34103942588373926,138.1723362189308,-23232400,9.325842696629188,-12.597647058823497,-8.706152175244828,-46.44955162562285,-831035143.2856919,2023-07-21,142.2,62.551468,13.93448,28.999489,85.28241237344167,138.7395995599668,1.1930715487477928,126.0324004400332,3.1767997799833987,2.7020903407531907,1.2737674230867988,135.7595135975925,-17119300,72.03832752613238,2.268529411764689,21.87466318773815,8.578337872315451,-1472887887.1896207,8.48999999999998,6.35,49,8.48999999999998,6.35,Yes
1,ABBV,2023-10-30,140.67,62.551468,13.93448,28.999489,36.87088623670921,149.56932722654093,0.040320415532195834,140.05567277345907,2.378413613270474,-1.79216094972597,-0.6794791340747857,145.03056913826018,-24575300,31.454418928322955,-5.224941176470594,14.364782067650166,-18.75048451116984,-2219661918.2874956,2023-12-04,143.41,62.551468,13.93448,28.999489,83.01700152722724,142.3913851293326,1.06312792154537,134.23461487066743,2.039192564666291,2.195476816448978,0.8927139652813478,139.03687265920328,-13470800,70.62023939064181,-0.5922647058823429,22.051253313588575,-6.749233888244261,-2377134285.9799094,2.740000000000009,1.95,35,11.22999999999999,8.4,Yes
0,ACN,2023-08-21,304.22,30.294386,25.491617,7.754104,41.076110553394344,320.4344672894685,0.17933598059986675,300.3685327105315,5.01648364473424,-1.2501785003491723,-1.3865617792659408,310.13891626428386,11280000,14.380418154003015,-6.622558823529403,9.445611208784811,-8.362985998927199,-259687817.8840813,2023-12-22,350.0,30.294386,25.491617,7.754104,82.72592441345759,349.83995493381263,1.1611732680093196,326.85304506618735,5.746727466906315,2.577727947828838,0.22296091971966447,341.4519419388768,27564800,92.71929824561418,11.704764705882383,49.40411613211664,43.405731207924326,-378185535.33287597,45.77999999999997,15.05,123,45.77999999999997,15.05,Yes
0,AMD,2023-06-27,108.57,322.22644,31.221207,4.937693,35.52121856637537,131.62309355366338,0.143936966850341,106.5559064463366,6.266796776831696,-1.3881892631594488,-2.6520670537127837,119.89968300925527,590595600,12.854368932038836,-2.3219705882352883,32.467323235871824,3.4071375975977167,133617097.89027458,2023-12-08,129.54,322.22644,31.221207,4.937693,74.51527112208525,127.59145795288387,1.1174465416980282,114.54254204711609,3.26222897644195,2.407249784337678,0.024455849843167954,122.63478380045534,1070511600,85.78263841421726,7.697941176470593,60.42404723193056,26.764151142371812,234876961.40046245,20.97,19.31,164,20.97,19.31,Yes
