Date,Open,High,Low,Close,Adj Close,Volume
1999-03-31,451.5,517.5,438.0,497.25,495.98077392578125,1322933
1999-04-01,550.5,552.0,475.5,483.0,481.76715087890625,483233
1999-04-05,501.0,504.0,435.0,450.75,449.5994567871094,324917
1999-04-06,452.25,484.125,420.0,474.0,472.79010009765625,353900
1999-04-07,480.75,487.5,442.5,447.0,445.8590393066406,156617
1999-04-08,447.0,450.75,423.75,435.0,433.8896484375,147767
1999-04-09,432.0,456.0,406.5,444.0,442.86669921875,141933
1999-04-12,420.75,475.5,414.0,459.375,458.20245361328125,182833
1999-04-13,472.5,515.25,463.5,489.0,487.7518310546875,240033
1999-04-14,554.25,595.5,510.0,558.75,557.3237915039062,627933
1999-04-15,564.0,564.0,459.0,479.25,478.0267028808594,339117
1999-04-16,486.0,510.0,438.0,488.25,487.00372314453125,176683
1999-04-19,490.5,492.0,348.0,359.25,358.3330078125,229150
1999-04-20,359.25,414.0,348.0,405.75,404.7143249511719,264100
1999-04-21,429.0,456.0,405.75,447.0,445.8590393066406,150483
1999-04-22,486.375,490.5,441.0,458.25,457.080322265625,145683
1999-04-23,516.375,574.5,492.0,528.0,526.6522827148438,741767
1999-04-26,626.625,728.625,604.5,724.5,722.6506958007812,1352367
1999-04-27,738.75,840.0,720.75,778.125,776.1388549804688,1196750
1999-04-28,749.625,806.625,696.0,726.0,724.1468505859375,448867
1999-04-29,690.375,833.25,690.0,826.875,824.764404296875,721900
1999-04-30,909.0,990.0,810.0,974.25,971.7632446289062,845467
1999-05-03,914.625,953.25,833.25,835.5,833.3673706054688,873317
1999-05-04,855.75,900.0,783.75,804.0,801.94775390625,692750
1999-05-05,847.125,912.0,720.75,907.125,904.8095703125,1264033
1999-05-06,888.0,912.0,827.25,836.625,834.489501953125,632083
1999-05-07,865.5,865.875,777.75,783.9375,781.9364624023438,569683
1999-05-10,768.0,791.25,726.0,768.0,766.0396728515625,449167
1999-05-11,807.0,808.5,738.0,738.0,736.1162719726562,286467
1999-05-12,736.5,774.0,732.0,756.0,754.0703125,240517
1999-05-13,779.25,792.0,726.0,729.0,727.1392211914062,187167
1999-05-14,720.0,807.0,714.0,796.875,794.8409423828125,792600
1999-05-17,789.0,793.875,744.0,790.5,788.4822387695312,341400
1999-05-18,787.5,838.5,766.125,816.75,814.6652221679688,418517
1999-05-19,820.5,865.5,808.5,855.0,852.817626953125,226583
1999-05-20,869.625,870.0,786.75,806.25,804.1920166015625,174400
1999-05-21,871.875,874.5,822.0,833.625,831.4971923828125,553733
1999-05-24,829.5,833.25,726.75,752.0625,750.1428833007812,314600
1999-05-25,726.0,776.25,618.0,624.0,622.4072265625,540600
1999-05-26,651.0,690.0,582.0,682.6875,680.9449462890625,691100
1999-05-27,676.5,702.0,654.375,664.875,663.1779174804688,273617
1999-05-28,642.0,673.5,636.0,672.1875,670.4717407226562,194833
1999-06-01,657.75,663.0,585.0,596.625,595.1021118164062,353983
1999-06-02,577.5,634.125,534.75,557.4375,556.0146484375,748050
1999-06-03,560.25,575.25,504.0,504.75,503.46160888671875,448450
1999-06-04,507.0,553.5,500.25,541.875,540.4918823242188,431817
1999-06-07,555.0,657.0,549.75,609.0,607.4454956054688,738183
1999-06-08,629.25,666.0,609.75,625.5,623.9033813476562,560267
1999-06-09,639.75,653.25,617.25,630.0,628.3919067382812,224783
1999-06-10,604.125,624.75,600.0,613.5,611.9340209960938,290533
1999-06-11,624.0,637.5,570.0,574.125,572.6595458984375,268367
1999-06-14,564.0,564.0,459.0,461.25,460.0726623535156,534317
1999-06-15,456.75,505.875,448.5,470.625,469.4237365722656,544217
1999-06-16,510.0,540.0,502.5,531.0,529.6445922851562,522133
1999-06-17,525.0,570.0,502.125,533.625,532.262939453125,439050
1999-06-18,548.25,571.125,546.0,564.0,562.5603637695312,257800
1999-06-21,574.5,655.5,571.5,637.875,636.246826171875,484800
1999-06-22,654.375,716.625,634.5,652.5,650.83447265625,766100
1999-06-23,624.0,683.625,624.0,665.25,663.5519409179688,435500
1999-06-24,649.5,657.0,612.0,612.0,610.4378662109375,314117
1999-06-25,632.625,644.25,573.0,574.5,573.0335693359375,380433
1999-06-28,594.0,633.75,552.0,633.0,631.38427734375,444450
1999-06-29,618.75,666.0,614.625,645.0,643.3536376953125,384483
1999-06-30,637.5,714.0,625.5,693.375,691.6051635742188,437417
1999-07-01,701.25,710.25,643.5,645.0,643.3536376953125,329517
1999-07-02,654.0,681.0,654.0,669.0,667.2923583984375,183617
1999-07-06,681.375,703.125,672.0,672.0,670.2847290039062,314250
1999-07-07,678.0,678.0,639.0,666.0,664.300048828125,274083
1999-07-08,677.25,697.5,657.0,664.125,662.4298095703125,294800
1999-07-09,672.375,678.0,650.25,654.0,652.3306884765625,116600
1999-07-12,655.875,660.0,624.0,629.0625,627.456787109375,143467
1999-07-13,604.875,626.25,600.0,618.75,617.170654296875,145050
1999-07-14,621.75,636.0,619.5,625.5,623.9033813476562,103967
1999-07-15,626.25,633.0,600.0,606.75,605.2012939453125,107133
1999-07-16,601.5,609.0,582.0,584.4375,582.9457397460938,160617
1999-07-19,633.0,648.0,585.0,585.9375,584.44189453125,464333
1999-07-20,572.25,576.0,546.0,549.375,547.9727172851562,278400
1999-07-21,550.875,551.25,519.0,529.3125,527.96142578125,303617
1999-07-22,522.375,528.0,498.0,501.375,500.0952453613281,228600
1999-07-23,501.75,514.5,480.375,487.125,485.8816223144531,281617
1999-07-26,478.875,495.75,465.0,469.125,467.92755126953125,268383
1999-07-27,484.5,486.0,440.625,441.9375,440.8094482421875,352817
1999-07-28,462.0,513.0,450.0,510.0,508.6982116699219,578900
1999-07-29,486.75,492.0,465.0,483.0,481.76715087890625,333083
1999-07-30,489.0,490.5,450.0,453.375,452.2177429199219,208083
1999-08-02,451.875,485.25,438.0,465.0,463.8130798339844,324467
1999-08-03,474.0,477.0,426.75,438.375,437.25604248046875,302050
1999-08-04,435.0,444.75,396.0,397.5,396.4853820800781,367850
1999-08-05,386.25,478.5,354.0,468.75,467.5534973144531,801383
1999-08-06,460.5,505.875,440.25,446.25,445.1109313964844,422067
1999-08-09,453.0,461.625,417.75,420.0,418.9279479980469,222100
1999-08-10,410.25,451.125,396.0,430.5,429.4011535644531,432800
1999-08-11,453.0,457.5,414.0,420.0,418.9279479980469,410583
1999-08-12,408.75,426.75,401.625,403.875,402.8441162109375,820100
1999-08-13,421.125,423.75,391.5,399.0,397.9815368652344,321433
1999-08-16,401.25,423.0,400.5,412.5,411.44708251953125,343200
1999-08-17,420.0,433.5,408.0,420.375,419.302001953125,333700
1999-08-18,432.75,449.25,420.75,424.5,423.4164733886719,388700
1999-08-19,416.25,423.0,398.25,399.0,397.9815368652344,332800
1999-08-20,402.0,409.5,393.75,406.5,405.46240234375,205217
1999-08-23,411.75,430.5,402.0,402.375,401.3479309082031,272467
1999-08-24,401.25,417.0,394.5,405.75,404.7143249511719,309367
1999-08-25,408.75,418.125,385.5,391.125,390.12664794921875,336300
1999-08-26,412.5,449.25,411.0,435.75,434.63775634765625,855783
1999-08-27,449.25,456.0,420.75,441.0,439.87432861328125,395150
1999-08-30,441.75,441.75,399.0,401.0625,400.0387878417969,280867
1999-08-31,408.0,417.0,396.0,408.75,407.7066650390625,258167
1999-09-01,420.75,423.0,393.0,393.5625,392.55792236328125,265400
1999-09-02,384.75,393.75,375.0,384.1875,383.20684814453125,194117
1999-09-03,411.0,411.0,390.0,398.25,397.23345947265625,203500
1999-09-07,411.0,420.0,401.25,406.875,405.8364562988281,395417
1999-09-08,401.625,403.5,376.5,379.5,378.53131103515625,406450
1999-09-09,378.375,383.25,329.25,348.9375,348.0468444824219,905250
1999-09-10,367.875,372.0,339.0,347.625,346.7376708984375,482400
1999-09-13,365.25,366.0,321.0,333.75,332.8981018066406,724033
1999-09-14,331.875,369.0,330.0,360.0,359.0810852050781,723450
1999-09-15,370.875,372.0,350.25,360.0,359.0810852050781,400317
1999-09-16,362.25,363.75,334.5,342.75,341.8751220703125,363567
1999-09-17,348.375,364.5,346.5,349.5,348.60791015625,377867
1999-09-20,367.5,390.09375,364.5,385.125,384.1419677734375,790233
1999-09-21,387.375,414.75,384.0,401.0625,400.0387878417969,830033
1999-09-22,423.75,441.0,421.5,429.75,428.6530456542969,920250
1999-09-23,440.25,447.0,390.0,390.375,389.3785705566406,542000
1999-09-24,392.25,414.0,379.125,393.375,392.37091064453125,447067
1999-09-27,372.0,382.5,360.75,370.3125,369.3672790527344,647683
1999-09-28,370.875,375.0,360.0,368.25,367.3100280761719,268150
1999-09-29,369.75,400.5,365.25,378.0,377.03515625,606083
1999-09-30,384.375,396.0,381.0,387.0,386.0121765136719,262067
1999-10-01,384.0,390.75,374.25,379.125,378.15728759765625,190033
1999-10-04,388.125,390.0,367.5,373.6875,372.7336730957031,206133
1999-10-05,378.0,387.0,372.0,385.5,384.5160217285156,312383
1999-10-06,390.75,444.0,390.375,436.5,435.3858337402344,1042467
1999-10-07,463.5,465.75,433.125,435.0,433.8896484375,832617
1999-10-08,444.0,458.25,440.25,442.5,441.3705139160156,424033
1999-10-11,450.0,459.75,444.75,456.0,454.8360595703125,255300
1999-10-12,454.125,476.25,453.0,455.625,454.4620056152344,539150
1999-10-13,438.0,459.75,424.125,433.5,432.39349365234375,328383
1999-10-14,438.75,439.875,407.25,420.0,418.9279479980469,318333
1999-10-15,391.5,413.25,388.5,405.375,404.34027099609375,352850
1999-10-18,400.125,406.5,371.25,386.25,385.26409912109375,287200
1999-10-19,399.0,405.0,387.0,388.125,387.1343078613281,219550
1999-10-20,397.875,408.0,391.875,399.0,397.9815368652344,160600
1999-10-21,388.875,420.0,384.375,412.5,411.44708251953125,198000
1999-10-22,417.75,431.25,399.0,400.5,399.47772216796875,152017
1999-10-25,402.75,418.5,402.0,411.375,410.324951171875,125933
1999-10-26,416.25,418.5,402.0,406.125,405.0883483886719,145133
1999-10-27,404.625,407.25,387.0,400.5,399.47772216796875,144600
1999-10-28,411.0,413.25,391.5,407.25,406.2104797363281,222317
1999-10-29,395.25,395.625,360.0,361.5,360.5772705078125,988217
1999-11-01,366.0,367.5,342.0,351.0,350.10406494140625,605717
1999-11-02,355.5,361.125,327.75,332.625,331.7759704589844,599417
1999-11-03,342.0,343.5,330.0,332.25,331.40191650390625,446283
1999-11-04,337.875,342.0,313.5,318.0,317.18829345703125,596300
1999-11-05,327.375,329.625,303.0,315.75,314.94403076171875,617483
1999-11-08,327.0,372.0,325.125,370.5,369.5542907714844,801283
1999-11-09,389.625,390.0,346.5,357.75,356.83685302734375,624800
1999-11-10,351.75,365.25,337.5,345.0,344.119384765625,335050
1999-11-11,344.25,344.625,330.0,337.5,336.6385192871094,214750
1999-11-12,338.625,348.0,334.5,339.75,338.8827819824219,186633
1999-11-15,366.0,372.0,354.0,359.625,358.7070617675781,503867
1999-11-16,372.0,414.0,366.75,412.5,411.44708251953125,1225283
1999-11-17,450.75,486.0,432.0,461.25,460.0726623535156,2259917
1999-11-18,450.0,450.375,417.0,431.25,430.14923095703125,1110067
1999-11-19,428.25,429.0,405.0,407.25,406.2104797363281,471167
1999-11-22,408.0,408.75,393.75,400.5,399.47772216796875,467117
1999-11-23,392.25,392.25,369.0,371.625,370.6764221191406,726800
1999-11-24,373.5,385.5,363.75,366.0,365.0657958984375,879667
1999-11-26,376.5,392.25,372.375,381.75,380.77557373046875,795267
1999-11-29,391.5,401.25,384.375,386.25,385.26409912109375,648650
1999-11-30,388.5,388.875,370.5,372.0,371.05047607421875,270017
1999-12-01,375.375,380.25,362.625,363.75,362.821533203125,350300
1999-12-02,383.25,391.5,378.0,390.375,389.3785705566406,950683
1999-12-03,403.125,405.0,370.5,371.25,370.3023681640625,742517
1999-12-06,372.0,379.125,363.75,366.375,365.4398193359375,441767
1999-12-07,368.625,376.875,364.5,369.0,368.0581359863281,269700
1999-12-08,366.75,373.5,354.0,356.25,355.3406677246094,432200
1999-12-09,370.875,372.75,336.0,347.25,346.3636474609375,646200
1999-12-10,352.5,364.3125,346.5,350.25,349.3559875488281,448517
1999-12-13,354.0,356.25,342.0,348.0,347.1117248535156,331900
1999-12-14,343.875,344.25,324.0,326.25,325.417236328125,531850
1999-12-15,325.5,337.5,315.0,331.5,330.6538391113281,280133
1999-12-16,358.5,365.625,342.0,343.125,342.2491760253906,465533
1999-12-17,348.0,348.0,333.0,341.625,340.75299072265625,252967
1999-12-20,348.0,352.125,330.75,336.0,335.1423645019531,290450
1999-12-21,342.375,362.25,339.75,356.25,355.3406677246094,523617
1999-12-22,358.125,368.25,339.375,342.0,341.1270446777344,337433
1999-12-23,342.375,344.25,327.0,330.0,329.1576843261719,273100
1999-12-27,345.75,348.0,321.75,326.25,325.417236328125,688283
1999-12-28,326.25,327.0,310.5,311.25,310.4555358886719,499000
1999-12-29,310.875,319.5,303.0,303.375,302.60064697265625,463233
1999-12-30,303.0,304.5,273.0,280.5,279.7840270996094,959100
1999-12-31,282.375,296.25,280.875,284.25,283.5244445800781,410167
2000-01-03,315.0,318.0,288.0,307.5,306.7151184082031,847700
2000-01-04,308.25,343.5,307.5,324.0,323.1729736328125,972750
2000-01-05,331.5,385.3125,327.75,359.625,358.7070617675781,1605417
2000-01-06,368.25,384.75,326.25,345.0,344.119384765625,1175267
2000-01-07,358.125,364.5,333.75,343.5,342.6231994628906,339417
2000-01-10,352.125,357.75,317.25,325.5,324.6691589355469,2018800
2000-01-11,322.5,342.0,311.25,316.875,316.066162109375,842983
2000-01-12,321.75,325.125,306.0,306.75,305.9670104980469,283767
2000-01-13,318.65625,319.125,300.0,309.75,308.9593505859375,299467
2000-01-14,315.0,342.0,313.5,341.25,340.37896728515625,789733
2000-01-18,334.5,355.875,333.0,355.125,354.2185363769531,572700
2000-01-19,354.0,377.25,349.875,374.625,373.66876220703125,710433
2000-01-20,370.875,372.0,354.0,371.625,370.6764221191406,580500
2000-01-21,374.25,387.0,369.0,381.0,380.0274963378906,825317
2000-01-24,383.625,386.625,357.0,359.625,358.7070617675781,401500
2000-01-25,358.875,379.5,336.0,377.625,376.6611022949219,414783
2000-01-26,382.125,408.375,379.5,397.5,396.4853820800781,878317
2000-01-27,406.5,415.5,378.375,384.75,383.7679138183594,1031917
2000-01-28,384.375,385.125,348.0,357.75,356.83685302734375,568800
2000-01-31,358.5,359.25,339.0,348.0,347.1117248535156,343917
2000-02-01,350.25,350.25,338.25,343.5,342.6231994628906,205517
2000-02-02,343.5,372.0,343.5,357.375,356.4627990722656,390067
2000-02-03,365.625,370.5,347.25,357.375,356.4627990722656,354067
2000-02-04,369.0,372.0,355.5,362.25,361.3253479003906,246950
2000-02-07,351.75,371.25,348.0,361.5,360.5772705078125,329717
2000-02-08,361.5,362.25,338.25,348.375,347.48577880859375,1567083
2000-02-09,350.625,356.25,339.0,350.625,349.73004150390625,529117
2000-02-10,350.625,351.0,336.0,337.5,336.6385192871094,307933
2000-02-11,339.0,339.75,321.0,323.25,322.4248962402344,235717
2000-02-14,329.625,334.125,323.25,326.25,325.417236328125,228417
2000-02-15,331.5,331.5,313.5,318.0,317.18829345703125,221433
2000-02-16,317.25,321.75,312.75,317.625,316.81427001953125,193033
2000-02-17,324.75,334.5,317.25,330.0,329.1576843261719,281433
2000-02-18,329.25,330.0,306.0,306.0,305.21893310546875,290850
2000-02-22,306.375,312.0,291.0,300.75,299.9823303222656,242783
2000-02-23,301.125,318.75,300.375,311.25,310.4555358886719,313117
2000-02-24,339.0,345.0,319.875,340.5,339.630859375,894867
2000-02-25,343.875,345.75,328.5,341.25,340.37896728515625,401167
2000-02-28,344.625,345.0,321.0,323.25,322.4248962402344,229117
2000-02-29,324.75,342.0,312.0,335.625,334.768310546875,465383
2000-03-01,354.75,388.5,354.0,386.25,385.26409912109375,2040883
2000-03-02,393.0,430.5,393.0,429.0,427.90496826171875,1558650
2000-03-03,435.0,450.375,422.625,450.0,448.85137939453125,1235600
2000-03-06,453.0,558.0,452.25,541.125,539.7437744140625,2516400
2000-03-07,579.75,580.5,459.0,471.75,470.5458679199219,2291917
2000-03-08,508.125,539.625,474.75,525.375,524.0339965820312,1705367
2000-03-09,535.5,585.0,520.5,562.125,560.690185546875,1778400
2000-03-10,564.0,587.25,554.25,567.0,565.552734375,684417
2000-03-13,516.0,598.5,494.25,575.625,574.1557006835938,749767
2000-03-14,584.25,625.5,569.25,569.625,568.1710205078125,833183
2000-03-15,567.75,569.25,528.0,534.0,532.636962890625,423417
2000-03-16,538.5,553.125,498.0,527.625,526.2782592773438,490267
2000-03-17,521.625,552.0,516.0,540.0,538.6216430664062,191567
2000-03-20,506.25,516.375,462.0,466.125,464.9352111816406,678683
2000-03-21,456.0,503.25,453.0,487.5,486.2556457519531,442467
2000-03-22,492.75,528.0,492.75,522.0,520.6676025390625,367000
2000-03-23,517.5,538.125,510.0,528.0,526.6522827148438,340483
2000-03-24,536.25,552.375,525.375,543.0,541.614013671875,344750
2000-03-27,547.125,560.25,543.0,552.0,550.5910034179688,217650
2000-03-28,541.5,551.25,513.0,521.625,520.2935180664062,236783
2000-03-29,522.0,526.875,490.5,490.875,489.6220397949219,393783
2000-03-30,479.25,496.5,471.0,486.75,485.507568359375,473467
2000-03-31,490.5,492.0,437.625,480.0,478.7747802734375,442117
2000-04-03,465.375,466.125,390.0,392.25,391.248779296875,617133
2000-04-04,413.25,453.0,348.0,451.5,450.3475341796875,839733
2000-04-05,440.625,453.0,408.0,431.625,430.5232849121094,409817
2000-04-06,435.75,476.25,435.75,462.75,461.5688171386719,315733
2000-04-07,481.5,516.0,445.875,468.375,467.1794738769531,617167
2000-04-10,473.625,473.625,426.0,437.25,436.1339111328125,387383
2000-04-11,421.5,424.125,372.0,390.375,389.3785705566406,741083
2000-04-12,398.25,399.0,359.25,360.75,359.8291931152344,509250
2000-04-13,369.0,390.75,363.0,372.75,371.7985534667969,736000
2000-04-14,357.0,372.0,311.25,351.28125,350.3846130371094,1033517
2000-04-17,333.75,340.5,297.75,312.375,311.5776672363281,730683
2000-04-18,316.5,389.625,292.5,384.0,383.01983642578125,1059817
2000-04-19,381.0,390.75,342.0,390.375,389.3785705566406,581250
2000-04-20,395.25,415.125,385.5,407.25,406.2104797363281,406567
2000-04-24,378.0,396.0,337.5,370.5,369.5542907714844,538417
2000-04-25,390.75,415.5,373.5,387.375,386.38623046875,501533
2000-04-26,396.0,396.375,366.0,383.25,382.2717590332031,529317
2000-04-27,360.0,405.75,357.0,389.625,388.6304931640625,372867
2000-04-28,390.375,402.0,375.75,379.5,378.53131103515625,484467
2000-05-01,387.375,395.25,378.375,381.375,380.40155029296875,471267
2000-05-02,381.75,387.0,354.0,357.0,356.0887451171875,283417
2000-05-03,352.5,354.0,330.75,348.09375,347.2052307128906,304650
2000-05-04,350.25,370.875,339.0,347.625,346.7376708984375,332667
2000-05-05,344.25,356.25,340.875,344.625,343.7453308105469,264800
2000-05-08,349.125,357.75,329.25,329.25,328.4095764160156,204667
2000-05-09,331.125,332.25,303.75,317.625,316.81427001953125,348650
2000-05-10,312.0,321.75,300.375,309.375,308.5853271484375,316133
2000-05-11,314.25,317.25,294.75,297.0,296.2419128417969,292850
2000-05-12,301.5,310.5,295.875,298.125,297.3640441894531,253617
2000-05-15,309.0,310.5,270.75,302.625,301.8525390625,520033
2000-05-16,311.25,343.40625,311.25,324.375,323.5470275878906,852017
2000-05-17,317.625,319.5,299.25,304.125,303.3487243652344,522450
2000-05-18,304.5,309.0,279.0,282.375,281.65423583984375,534167
2000-05-19,279.0,287.25,267.0,268.5,267.81463623046875,389450
2000-05-22,270.0,270.0,246.375,266.625,265.9444274902344,505200
2000-05-23,268.875,269.25,240.0,243.0,242.37974548339844,413433
2000-05-24,240.0,241.5,198.375,219.0,218.4409942626953,1009067
2000-05-25,241.125,250.875,210.75,217.5,216.94482421875,831933
2000-05-26,217.875,222.75,201.75,216.75,216.19674682617188,259833
2000-05-30,222.75,237.75,214.5,235.5,234.8988800048828,393217
2000-05-31,232.125,234.0,223.5,228.75,228.16610717773438,287783
2000-06-01,232.125,254.25,231.0,251.625,250.98272705078125,638033
2000-06-02,255.0,286.5,255.0,279.0,278.287841796875,601767
2000-06-05,278.625,309.0,271.875,294.0,293.24957275390625,514350
2000-06-06,295.5,295.5,264.375,264.375,263.7001953125,309833
2000-06-07,263.25,277.5,261.0,270.0,269.3108215332031,342200
2000-06-08,277.125,280.125,265.5,273.375,272.6772155761719,379233
2000-06-09,279.75,282.0,267.0,270.75,270.05889892578125,254267
2000-06-12,270.0,276.0,246.375,252.0,251.3567657470703,310533
2000-06-13,252.75,265.5,246.75,261.0,260.33380126953125,246167
2000-06-14,262.5,271.5,258.0,259.125,258.4635925292969,184217
2000-06-15,267.375,274.875,252.75,256.5,255.84527587890625,279133
2000-06-16,259.875,264.0,252.75,259.125,258.4635925292969,178700
2000-06-19,259.125,268.5,257.25,267.375,266.6925354003906,151750
2000-06-20,275.25,284.25,270.375,279.0,278.287841796875,625800
2000-06-21,275.25,276.75,264.0,270.0,269.3108215332031,181900
2000-06-22,273.75,282.0,264.0,271.875,271.1810302734375,307267
2000-06-23,267.75,268.5,234.75,250.875,250.23463439941406,968700
2000-06-26,252.75,253.5,226.125,228.0,227.41802978515625,629400
2000-06-27,229.125,242.25,228.375,240.0,239.38739013671875,257050
2000-06-28,240.0,246.75,237.0,241.125,240.509521484375,269817
2000-06-29,215.625,223.3125,199.875,220.875,220.31121826171875,1322883
2000-06-30,219.0,229.5,213.0,227.90625,227.32452392578125,407750
2000-07-03,230.625,240.0,222.0,240.0,239.38739013671875,106400
2000-07-05,234.75,235.5,222.0,222.75,222.18142700195312,158133
2000-07-06,222.375,230.25,216.0,228.375,227.7920684814453,214517
2000-07-07,227.625,228.375,222.0,225.375,224.7997283935547,127150
2000-07-10,227.625,228.75,222.75,223.5,222.9295196533203,172133
2000-07-11,223.5,223.5,194.25,195.0,194.50225830078125,634233
2000-07-12,205.5,217.5,195.75,213.75,213.20440673828125,787533
2000-07-13,219.0,233.625,211.5,230.625,230.0363311767578,568333
2000-07-14,236.25,244.125,229.875,236.625,236.02101135253906,875950
2000-07-17,240.75,244.5,234.0,237.375,236.76910400390625,458517
2000-07-18,237.375,242.25,223.5,232.5,231.9065399169922,468683
2000-07-19,229.78125,241.5,225.0,238.5,237.89122009277344,237933
2000-07-20,240.75,245.25,237.0,243.375,242.7537841796875,268400
2000-07-21,243.0,251.25,237.0,240.375,239.76144409179688,403917
2000-07-24,234.0,234.375,183.0,186.75,186.2733154296875,2586733
2000-07-25,199.125,199.125,180.0,187.5,187.0214080810547,1710217
2000-07-26,186.75,187.5,169.125,171.75,171.3115997314453,867600
2000-07-27,168.0,168.0,144.375,154.875,154.47967529296875,1140833
2000-07-28,157.875,159.0,138.75,147.0,146.62478637695312,948967
2000-07-31,153.0,153.0,135.75,141.75,141.38818359375,974450
2000-08-01,151.125,159.75,147.375,149.625,149.2430877685547,1063017
2000-08-02,151.875,154.875,146.25,148.875,148.4949951171875,555367
2000-08-03,144.375,146.25,140.25,145.875,145.50265502929688,403267
2000-08-04,148.125,150.375,142.5,145.5,145.1286163330078,285817
2000-08-07,147.0,167.25,142.5,165.0,164.57884216308594,814500
2000-08-08,166.5,179.625,159.375,168.0,167.57118225097656,774417
2000-08-09,173.25,174.0,149.625,153.75,153.35755920410156,605400
2000-08-10,153.75,153.75,141.0,142.5,142.13626098632812,624050
2000-08-11,138.0,148.5,137.25,144.0,143.6324462890625,373750
2000-08-14,147.0,152.625,138.0,147.375,146.9988250732422,550533
2000-08-15,144.75,157.5,144.375,152.25,151.8613739013672,496783
2000-08-16,152.625,163.5,150.0,150.75,150.36520385742188,507367
2000-08-17,150.0,154.5,146.625,151.5,151.11329650878906,417683
2000-08-18,154.5,159.0,150.375,158.625,158.22010803222656,372950
2000-08-21,160.875,160.875,150.0,153.0,152.60946655273438,359183
2000-08-22,155.25,155.25,147.75,148.5,148.12095642089844,179900
2000-08-23,149.625,155.25,147.0,152.625,152.2354278564453,410533
