Date,Open,High,Low,Close,Adj Close,Volume
1998-08-18,12.875,13.125,12.875,13.0,8.845460891723633,5783000
1998-08-19,13.0,13.25,13.0,13.0,8.845460891723633,388700
1998-08-20,13.125,13.25,13.0,13.0,8.845460891723633,348500
1998-08-21,13.0,13.0,13.0,13.0,8.845460891723633,804000
1998-08-24,13.0,13.0,13.0,13.0,8.845460891723633,119700
1998-08-25,13.0,13.0,12.875,13.0,8.845460891723633,294100
1998-08-26,13.0,13.0,12.125,12.25,8.335144996643066,383800
1998-08-27,12.25,12.375,10.75,11.125,7.569674968719482,435300
1998-08-28,11.375,11.375,10.0,10.0,6.804202556610107,192400
1998-08-31,10.0,10.125,7.625,8.125,5.52841329574585,150800
1998-09-01,8.25,9.0,6.6875,8.5,5.783570766448975,440700
1998-09-02,8.5,10.5,8.5,9.5625,6.506515979766846,509200
1998-09-03,9.75,9.75,8.5,8.75,5.953675746917725,165900
1998-09-04,9.0,9.0,8.125,8.375,5.6985182762146,155700
1998-09-08,9.0,10.0,8.75,9.875,6.719147205352783,149300
1998-09-09,9.875,10.0,9.5,9.5,6.463991641998291,116900
1998-09-10,9.375,9.375,9.0,9.25,6.293886661529541,80700
1998-09-11,9.3125,9.375,9.0,9.0,6.123779773712158,84800
1998-09-14,9.25,9.625,9.0,9.0,6.123779773712158,90800
1998-09-15,9.125,9.25,8.625,8.75,5.953675746917725,200400
1998-09-16,8.75,8.75,7.75,7.875,5.358309268951416,221300
1998-09-17,7.875,8.625,7.875,8.28125,5.634728908538818,87300
1998-09-18,8.375,8.6875,7.75,8.25,5.613466262817383,147300
1998-09-21,7.875,8.0,6.875,7.0,4.762940406799316,472900
1998-09-22,7.125,8.125,7.0625,8.0,5.443360805511475,728300
1998-09-23,8.25,8.625,8.0,8.375,5.6985182762146,382500
1998-09-24,8.5,9.375,8.5,9.0625,6.166306018829346,280800
1998-09-25,8.75,9.4375,8.75,9.375,6.378939151763916,44400
1998-09-28,9.5,9.875,9.375,9.375,6.378939151763916,26500
1998-09-29,9.5,9.75,9.25,9.53125,6.48525333404541,88300
1998-09-30,9.5,10.0625,9.375,9.625,6.549042701721191,172300
1998-10-01,9.625,9.625,8.875,8.875,6.038727283477783,85500
1998-10-02,8.875,9.25,8.875,8.875,6.038727283477783,58700
1998-10-05,8.75,8.875,8.0,8.0,5.443360805511475,63000
1998-10-06,9.0,9.125,8.0,8.375,5.6985182762146,129500
1998-10-07,8.375,8.625,7.8125,7.8125,5.315781593322754,340400
1998-10-08,7.75,7.8125,6.0,6.3125,4.29515266418457,346800
1998-10-09,7.0,7.125,6.125,6.25,4.252625942230225,271500
1998-10-12,6.5,6.5,6.0,6.25,4.252625942230225,660400
1998-10-13,6.25,7.5,6.25,7.0,4.762940406799316,228600
