Date,Open,High,Low,Close,Adj Close,Volume
1989-10-04,2.46875,2.546875,2.4375,2.5,1.6620523929595947,20636000
1989-10-05,2.515625,2.625,2.5,2.578125,1.7139918804168701,6453600
1989-10-06,2.59375,2.625,2.546875,2.546875,1.6932169198989868,2755200
1989-10-09,2.546875,2.546875,2.5,2.546875,1.6932169198989868,1084000
1989-10-10,2.5625,2.5625,2.5,2.53125,1.6828287839889526,1493600
1989-10-11,2.5,2.515625,2.46875,2.515625,1.672439694404602,1260000
1989-10-12,2.515625,2.546875,2.515625,2.53125,1.6828287839889526,602400
1989-10-13,2.53125,2.53125,2.46875,2.484375,1.6516642570495605,3970400
1989-10-16,2.375,2.46875,2.375,2.46875,1.6412774324417114,3924800
1989-10-17,2.4375,2.5,2.4375,2.5,1.6620523929595947,1843200
1989-10-18,2.5,2.5625,2.484375,2.546875,1.6932169198989868,1128000
1989-10-19,2.53125,2.546875,2.53125,2.546875,1.6932169198989868,1040000
1989-10-20,2.53125,2.53125,2.515625,2.53125,1.6828287839889526,237600
1989-10-23,2.546875,2.5625,2.546875,2.546875,1.6932169198989868,87200
1989-10-24,2.546875,2.5625,2.53125,2.5625,1.7036033868789673,689600
1989-10-25,2.546875,2.578125,2.515625,2.546875,1.6932169198989868,608000
1989-10-26,2.546875,2.5625,2.546875,2.546875,1.6932169198989868,228800
1989-10-27,2.546875,2.546875,2.5,2.515625,1.672439694404602,456000
1989-10-30,2.515625,2.515625,2.5,2.5,1.6620523929595947,250400
1989-10-31,2.5,2.515625,2.5,2.5,1.6620523929595947,424800
1989-11-01,2.515625,2.5625,2.515625,2.5625,1.7036033868789673,715200
1989-11-02,2.59375,2.640625,2.59375,2.640625,1.7555437088012695,130400
1989-11-03,2.625,2.75,2.625,2.734375,1.8178695440292358,1118400
1989-11-06,2.71875,2.71875,2.578125,2.578125,1.7139918804168701,264800
1989-11-07,2.546875,2.6875,2.5,2.6875,1.786705732345581,727200
1989-11-08,2.6875,2.71875,2.671875,2.71875,1.8074820041656494,236800
1989-11-09,2.71875,2.71875,2.6875,2.6875,1.786705732345581,60800
1989-11-10,2.6875,2.6875,2.546875,2.5625,1.7036033868789673,210400
1989-11-13,2.5625,2.5625,2.515625,2.546875,1.6932169198989868,92800
1989-11-14,2.578125,2.578125,2.484375,2.53125,1.6828287839889526,428000
1989-11-15,2.546875,2.578125,2.53125,2.5625,1.7036033868789673,176000
1989-11-16,2.546875,2.59375,2.546875,2.59375,1.7243783473968506,301600
1989-11-17,2.59375,2.640625,2.59375,2.640625,1.7555437088012695,249600
1989-11-20,2.65625,2.65625,2.609375,2.609375,1.734765887260437,43200
1989-11-21,2.59375,2.671875,2.59375,2.671875,1.776318907737732,108800
1989-11-22,2.6875,2.75,2.6875,2.75,1.8282583951950073,255200
1989-11-24,2.78125,2.953125,2.78125,2.921875,1.9425238370895386,572000
1989-11-27,2.90625,2.9375,2.859375,2.875,1.9113595485687256,253600
1989-11-28,2.875,2.875,2.828125,2.828125,1.8801969289779663,560000
1989-11-29,2.8125,2.8125,2.78125,2.796875,1.8594204187393188,60800
1989-11-30,2.8125,2.90625,2.8125,2.890625,1.921747088432312,712800
1989-12-01,2.890625,2.953125,2.890625,2.90625,1.9321348667144775,356800
1989-12-04,2.9375,2.984375,2.875,2.984375,1.9840744733810425,172000
1989-12-05,2.953125,2.984375,2.90625,2.90625,1.9321348667144775,93600
1989-12-06,2.90625,3.0,2.90625,2.984375,1.9840744733810425,668800
1989-12-07,2.984375,2.984375,2.921875,2.953125,1.9632998704910278,215200
