Date,Open,High,Low,Close,Adj Close,Volume
1994-02-17,25.5,25.875,24.5,24.625,16.467153549194336,4478600
1994-02-18,24.75,25.0,24.25,24.625,16.467153549194336,777900
1994-02-22,24.25,24.5,24.0,24.375,16.29998016357422,361900
1994-02-23,24.375,24.5,23.25,23.25,15.547664642333984,284500
1994-02-24,23.125,23.25,22.75,23.0,15.380484580993652,494600
1994-02-25,23.0,23.875,23.0,23.75,15.882033348083496,102000
1994-02-28,23.875,24.0,23.75,23.875,15.965604782104492,115200
1994-03-01,23.75,24.0,23.125,23.25,15.547664642333984,246600
1994-03-02,22.75,22.875,22.625,22.75,15.213312149047852,355900
1994-03-03,22.75,23.0,22.75,22.875,15.296905517578125,51500
1994-03-04,23.0,23.375,22.75,23.125,15.464081764221191,145500
1994-03-07,23.125,23.25,23.0,23.0,15.380484580993652,102200
1994-03-08,23.0,23.125,22.875,23.0,15.380484580993652,34700
1994-03-09,23.125,23.125,22.875,22.875,15.296905517578125,101100
1994-03-10,22.875,23.0,22.125,22.25,14.878950119018555,220400
1994-03-11,22.125,22.375,22.0,22.375,14.962544441223145,42100
1994-03-14,22.25,22.5,22.125,22.25,14.878950119018555,11900
1994-03-15,22.75,23.0,22.5,22.75,15.213312149047852,128500
1994-03-16,22.75,22.875,22.5,22.75,15.213312149047852,93800
1994-03-17,22.875,22.875,22.5,22.625,15.129720687866211,43700
1994-03-18,22.5,22.875,22.5,22.875,15.296905517578125,125000
1994-03-21,22.75,23.125,22.75,23.125,15.464081764221191,81100
1994-03-22,23.0,23.625,23.0,23.5,15.714853286743164,91800
1994-03-23,24.25,24.875,24.25,24.25,16.21638298034668,332700
1994-03-24,24.375,24.375,24.0,24.0,16.049213409423828,113300
1994-03-25,24.0,24.25,24.0,24.0,16.049213409423828,54700
1994-03-28,24.25,24.25,23.75,24.0,16.049213409423828,67900
1994-03-29,23.875,24.0,22.5,22.5,15.046124458312988,174400
1994-03-30,22.25,22.25,22.0,22.125,14.795369148254395,198000
1994-03-31,22.25,22.375,21.5,22.0,14.71177864074707,201000
1994-04-04,21.625,21.625,21.0,21.5,14.37740707397461,206600
1994-04-05,21.5,22.75,21.5,22.75,15.213312149047852,40500
1994-04-06,22.75,22.875,22.5,22.875,15.296905517578125,31700
1994-04-07,22.875,22.875,22.625,22.875,15.296905517578125,14500
1994-04-08,22.875,22.875,22.125,22.5,15.046124458312988,29900
1994-04-11,22.75,22.75,22.25,22.625,15.129720687866211,28900
1994-04-12,22.5,22.5,22.0,22.125,14.795369148254395,56200
1994-04-13,22.25,22.375,21.25,21.75,14.544585227966309,48100
1994-04-14,21.5,21.5,21.25,21.375,14.293817520141602,81800
1994-04-15,21.375,21.375,21.25,21.375,14.293817520141602,23400
1994-04-18,21.375,21.375,20.5,20.5,13.708697319030762,119100
1994-04-19,20.5,20.5,20.0,20.125,13.457926750183105,23100
1994-04-20,20.125,20.125,19.5,19.75,13.207159996032715,72900
