Date,Open,High,Low,Close,Adj Close,Volume
1993-02-23,8.0,8.125,7.65625,7.75,3.655240535736084,40594800
1993-02-24,7.875,8.0625,7.78125,7.96875,3.758413553237915,9426400
1993-02-25,8.0,8.15625,7.96875,8.15625,3.846846580505371,5229200
1993-02-26,8.15625,8.28125,8.03125,8.28125,3.9058024883270264,2761200
1993-03-01,8.1875,8.21875,8.0,8.0,3.7731521129608154,3014400
1993-03-02,8.0625,8.25,8.03125,8.21875,3.8763227462768555,3022800
1993-03-03,8.1875,8.3125,8.125,8.1875,3.861586570739746,2808800
1993-03-04,8.15625,8.25,8.15625,8.15625,3.846846580505371,1783600
1993-03-05,8.125,8.34375,8.0,8.3125,3.920541286468506,3868800
1993-03-08,8.25,8.3125,8.1875,8.28125,3.9058024883270264,2516000
1993-03-09,8.25,8.625,8.25,8.53125,4.023713111877441,2449200
1993-03-10,8.46875,8.90625,8.4375,8.875,4.185840606689453,3192800
1993-03-11,8.96875,8.96875,8.78125,8.875,4.185840606689453,1276400
1993-03-12,8.8125,9.0625,8.5,9.03125,4.259533405303955,2958800
1993-03-15,9.0,9.0,8.8125,8.875,4.185840606689453,1858400
1993-03-16,8.8125,8.90625,8.65625,8.6875,4.097408294677734,2182000
1993-03-17,8.6875,8.78125,8.59375,8.78125,4.141627788543701,2413600
1993-03-18,8.75,9.03125,8.75,9.0,4.2447967529296875,1765200
1993-03-19,9.0625,9.0625,8.90625,8.90625,4.200581073760986,2397600
1993-03-22,8.9375,8.9375,8.78125,8.875,4.185840606689453,729200
1993-03-23,8.875,8.875,8.6875,8.6875,4.097408294677734,924000
1993-03-24,8.6875,8.6875,8.34375,8.59375,4.053192138671875,1787600
1993-03-25,8.53125,8.59375,8.40625,8.59375,4.053192138671875,1080400
1993-03-26,8.875,9.15625,8.84375,9.15625,4.318490982055664,2376800
1993-03-29,9.09375,9.25,8.9375,9.25,4.362710475921631,1273600
1993-03-30,9.375,9.59375,9.28125,9.59375,4.524835586547852,1463600
1993-03-31,9.625,9.8125,9.5625,9.59375,4.524835586547852,1856000
1993-04-01,9.46875,9.5,9.1875,9.25,4.362710475921631,1410000
1993-04-02,9.125,9.28125,8.90625,8.90625,4.200581073760986,1338800
1993-04-05,8.875,9.09375,8.875,9.0625,4.274274826049805,873200
1993-04-06,9.09375,9.125,8.9375,8.9375,4.215317726135254,763200
1993-04-07,8.90625,9.09375,8.90625,9.0625,4.274274826049805,240400
1993-04-08,9.0625,9.0625,9.0,9.03125,4.259533405303955,304000
1993-04-12,9.03125,9.25,9.03125,9.25,4.362710475921631,217600
1993-04-13,9.375,9.59375,9.375,9.53125,4.495356559753418,937600
1993-04-14,9.53125,9.8125,9.53125,9.78125,4.6132707595825195,689600
1993-04-15,9.65625,9.65625,9.25,9.375,4.421663761138916,1319600
1993-04-16,9.4375,9.5,9.3125,9.34375,4.406924724578857,1452400
1993-04-19,9.28125,9.34375,9.09375,9.125,4.303751468658447,861600
1993-04-20,9.21875,9.28125,8.65625,8.84375,4.171100616455078,2764000
1993-04-21,8.84375,8.96875,8.71875,8.71875,4.112148284912109,1372800
1993-04-22,8.71875,8.875,8.6875,8.71875,4.112148284912109,1387600
1993-04-23,8.6875,8.71875,8.5,8.59375,4.053192138671875,660400
1993-04-26,8.625,8.6875,8.3125,8.40625,3.964756965637207,1847200
1993-04-27,8.3125,8.5,8.15625,8.5,4.008973598480225,1674000
1993-04-28,8.5625,8.6875,8.46875,8.65625,4.082668304443359,726800
1993-04-29,8.65625,8.71875,8.625,8.625,4.067930221557617,228800
1993-04-30,8.65625,9.75,8.65625,9.6875,4.569054126739502,3105600
1993-05-03,9.5,9.5,9.125,9.1875,4.333230972290039,2001200
1993-05-04,9.25,9.3125,9.15625,9.25,4.362710475921631,826000
1993-05-05,9.21875,9.21875,9.125,9.15625,4.318490982055664,512000
1993-05-06,9.15625,9.15625,9.0,9.09375,4.289013862609863,183200
1993-05-07,9.125,9.1875,9.09375,9.125,4.303751468658447,245200
1993-05-10,9.15625,9.3125,9.15625,9.25,4.362710475921631,708800
1993-05-11,9.25,9.25,9.125,9.21875,4.347970485687256,568800
1993-05-12,9.21875,9.28125,9.15625,9.21875,4.347970485687256,258000
1993-05-13,9.15625,9.15625,9.0,9.0,4.2447967529296875,163200
1993-05-14,8.96875,8.96875,8.59375,8.75,4.126884937286377,848000
1993-05-17,8.75,8.96875,8.71875,8.90625,4.200581073760986,382000
1993-05-18,8.875,8.875,8.71875,8.8125,4.156363487243652,883600
1993-05-19,8.78125,8.96875,8.78125,8.90625,4.200581073760986,514800
1993-05-20,8.96875,8.96875,8.6875,8.75,4.126884937286377,936800
1993-05-21,8.6875,8.6875,8.46875,8.5,4.008973598480225,834000
1993-05-24,8.46875,8.65625,8.4375,8.65625,4.082668304443359,262400
1993-05-25,8.65625,8.6875,8.5625,8.625,4.079713821411133,662400
1993-05-26,8.625,9.1875,8.625,9.15625,4.330998420715332,659200
1993-05-27,9.125,9.21875,8.75,8.78125,4.153621196746826,1011600
1993-05-28,8.75,8.75,8.53125,8.59375,4.064932823181152,1338800
1993-06-01,8.59375,8.6875,8.59375,8.65625,4.09449577331543,330400
1993-06-02,8.65625,8.75,8.65625,8.71875,4.124058723449707,295600
1993-06-03,8.75,8.75,8.5625,8.5625,4.050148010253906,178800
1993-06-04,8.5,8.625,8.46875,8.46875,4.00580358505249,211200
1993-06-07,8.46875,8.5,8.40625,8.46875,4.00580358505249,314400
1993-06-08,8.46875,8.5,8.4375,8.46875,4.00580358505249,295200
1993-06-09,8.46875,8.59375,8.46875,8.59375,4.064932823181152,341200
1993-06-10,8.59375,8.59375,8.46875,8.5,4.020585060119629,166000
1993-06-11,8.53125,8.59375,8.5,8.5625,4.050148010253906,148000
1993-06-14,8.5625,8.6875,8.5625,8.59375,4.064932823181152,449200
1993-06-15,8.59375,8.59375,8.4375,8.5,4.020585060119629,208800
1993-06-16,8.5,8.8125,8.5,8.75,4.138838768005371,1311600
1993-06-17,8.71875,8.84375,8.71875,8.78125,4.153621196746826,305200
1993-06-18,8.78125,8.78125,8.53125,8.53125,4.035367488861084,1043600
1993-06-21,8.46875,8.5,8.1875,8.46875,4.00580358505249,2092400
1993-06-22,8.46875,8.46875,8.21875,8.46875,4.00580358505249,1855600
1993-06-23,8.46875,8.5,8.40625,8.46875,4.00580358505249,1940400
1993-06-24,8.71875,8.84375,8.625,8.78125,4.153621196746826,2887600
1993-06-25,8.78125,9.09375,8.78125,9.0625,4.286656379699707,1870400
1993-06-28,9.0625,9.75,9.0625,9.6875,4.582284927368164,3107600
1993-06-29,9.5,9.53125,9.25,9.3125,4.4049072265625,2186800
1993-06-30,9.28125,9.375,9.21875,9.375,4.434469699859619,4777600
1993-07-01,9.375,9.375,9.21875,9.25,4.375344753265381,2097200
1993-07-02,9.25,9.34375,9.21875,9.3125,4.4049072265625,932800
1993-07-06,9.25,9.28125,9.1875,9.21875,4.360563278198242,1907600
1993-07-07,9.1875,9.21875,9.09375,9.21875,4.360563278198242,1842000
1993-07-08,9.21875,9.3125,9.15625,9.1875,4.345780849456787,2947200
1993-07-09,9.15625,9.1875,9.03125,9.1875,4.345780849456787,2786000
1993-07-12,9.1875,9.6875,9.15625,9.6875,4.582284927368164,7127600
1993-07-13,9.5625,9.5625,9.21875,9.21875,4.360563278198242,10491600
1993-07-14,9.21875,9.21875,8.84375,8.90625,4.2127485275268555,9687600
1993-07-15,8.6875,9.0,8.65625,8.96875,4.242310047149658,9809200
1993-07-16,8.96875,9.03125,8.8125,8.9375,4.227529048919678,5910800
1993-07-19,8.9375,9.125,8.9375,9.09375,4.3014373779296875,3670400
1993-07-20,9.3125,9.625,9.15625,9.5,4.493595600128174,10484800
1993-07-21,9.53125,9.65625,9.40625,9.65625,4.567505836486816,4429200
1993-07-22,9.59375,9.59375,9.40625,9.4375,4.4640326499938965,4458800
1993-07-23,9.375,9.40625,9.28125,9.34375,4.419689655303955,2494800
1993-07-26,9.3125,9.8125,9.3125,9.625,4.552723407745361,5059600
1993-07-27,9.59375,9.59375,9.40625,9.46875,4.478816032409668,2681600
1993-07-28,9.4375,9.5625,9.4375,9.4375,4.4640326499938965,2142400
1993-07-29,9.4375,9.5625,9.125,9.3125,4.4049072265625,6696400
1993-07-30,9.21875,9.3125,9.1875,9.3125,4.4049072265625,2814800
1993-08-02,9.28125,9.3125,9.15625,9.25,4.375344753265381,3802400
1993-08-03,9.25,9.28125,9.15625,9.15625,4.330998420715332,2195600
1993-08-04,9.15625,9.3125,9.125,9.21875,4.360563278198242,1874000
1993-08-05,9.25,9.3125,9.125,9.15625,4.330998420715332,3159600
1993-08-06,9.1875,9.46875,9.15625,9.46875,4.478816032409668,1455200
