Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,8.140625,8.25,8.03125,8.1875,0.7691836357116699,109600
1982-01-04,8.15625,8.15625,8.125,8.125,0.763312041759491,80800
1982-01-05,8.03125,8.125,7.90625,7.90625,0.7427612543106079,138400
1982-01-06,7.78125,7.90625,7.65625,7.71875,0.7251466512680054,151600
1982-01-07,7.6875,7.71875,7.625,7.65625,0.7192745804786682,96800
1982-01-08,7.71875,7.75,7.65625,7.6875,0.7222104668617249,258800
1982-01-11,7.59375,7.6875,7.46875,7.46875,0.7016597986221313,160000
1982-01-12,7.3125,7.46875,7.125,7.28125,0.6840448975563049,249200
1982-01-13,7.21875,7.3125,7.125,7.15625,0.6723018288612366,227200
1982-01-14,7.1875,7.25,7.125,7.1875,0.6752378940582275,52800
1982-01-15,7.25,7.3125,7.1875,7.25,0.6811093688011169,75200
1982-01-18,7.1875,7.25,7.09375,7.09375,0.666430652141571,243200
1982-01-19,7.28125,7.34375,7.21875,7.3125,0.6869809627532959,395600
1982-01-20,7.5,7.65625,7.3125,7.59375,0.7134036421775818,548000
1982-01-21,7.75,7.8125,7.65625,7.75,0.7280817627906799,395600
1982-01-22,7.71875,7.75,7.6875,7.71875,0.7251466512680054,341600
1982-01-25,7.6875,7.71875,7.625,7.71875,0.7251466512680054,253600
1982-01-26,7.75,7.8125,7.65625,7.65625,0.7192745804786682,262800
1982-01-27,7.59375,7.65625,7.5,7.5,0.704595685005188,349600
1982-01-28,7.53125,7.59375,7.46875,7.5,0.704595685005188,154000
1982-01-29,7.71875,7.84375,7.5625,7.8125,0.7339540719985962,309600
1982-02-01,7.71875,7.78125,7.625,7.625,0.716339111328125,272000
1982-02-02,7.625,7.6875,7.53125,7.625,0.716339111328125,140400
1982-02-03,7.65625,7.75,7.5625,7.5625,0.7104672789573669,142000
1982-02-04,7.59375,7.625,7.53125,7.5625,0.7104672789573669,93600
1982-02-05,7.8125,7.90625,7.6875,7.875,0.7398253679275513,149600
1982-02-08,8.0,8.0625,7.90625,7.9375,0.7456974983215332,177200
1982-02-09,8.0,8.03125,7.96875,8.0,0.751568615436554,108400
1982-02-10,8.0625,8.15625,7.9375,7.9375,0.7456974983215332,299200
1982-02-11,7.96875,7.96875,7.9375,7.9375,0.7456974983215332,138800
1982-02-12,7.9375,7.96875,7.90625,7.9375,0.7456974983215332,42400
1982-02-16,7.71875,7.75,7.6875,7.71875,0.734164297580719,258400
1982-02-17,7.71875,7.78125,7.625,7.625,0.7252474427223206,221200
1982-02-18,7.59375,7.65625,7.5,7.5625,0.7193025350570679,101200
1982-02-19,7.46875,7.53125,7.40625,7.40625,0.7044410109519958,254400
1982-02-22,7.5,7.5625,7.4375,7.4375,0.7074134945869446,174800
1982-02-23,7.3125,7.40625,7.1875,7.3125,0.6955243945121765,281200
1982-02-24,7.25,7.3125,7.1875,7.21875,0.686606764793396,208000
1982-02-25,7.21875,7.25,7.1875,7.1875,0.6836349964141846,405200
1982-02-26,7.21875,7.25,7.15625,7.15625,0.6806628108024597,72000
1982-03-01,7.21875,7.28125,7.125,7.125,0.6776903867721558,287200
1982-03-02,7.1875,7.21875,7.125,7.125,0.6776903867721558,124400
1982-03-03,7.09375,7.09375,7.0625,7.0625,0.6717455387115479,262800
1982-03-04,7.03125,7.09375,6.96875,6.96875,0.6628286838531494,157600
1982-03-05,6.9375,7.0,6.875,6.90625,0.656883955001831,179200
1982-03-08,6.53125,6.75,6.28125,6.28125,0.5974375605583191,782800
1982-03-09,6.4375,6.59375,6.28125,6.46875,0.6152715682983398,776400
1982-03-10,6.75,6.90625,6.59375,6.8125,0.6479673981666565,308000
1982-03-11,6.8125,6.9375,6.65625,6.65625,0.6331055164337158,330800
1982-03-12,6.59375,6.625,6.53125,6.5625,0.6241881847381592,127200
1982-03-15,6.59375,6.625,6.5625,6.625,0.6301331520080566,90400
1982-03-16,6.71875,6.84375,6.59375,6.75,0.6420225501060486,618800
1982-03-17,6.75,6.8125,6.6875,6.78125,0.6449946761131287,107200
1982-03-18,6.8125,6.84375,6.75,6.78125,0.6449946761131287,57200
1982-03-19,6.8125,6.84375,6.78125,6.78125,0.6449946761131287,84400
1982-03-22,6.96875,7.09375,6.8125,7.0625,0.6717455387115479,164000
1982-03-23,7.03125,7.125,6.90625,6.90625,0.656883955001831,168400
1982-03-24,6.9375,7.03125,6.84375,6.875,0.6539114117622375,237600
1982-03-25,6.90625,6.9375,6.875,6.9375,0.6598564982414246,216000
1982-03-26,6.9375,6.96875,6.90625,6.90625,0.656883955001831,121600
1982-03-29,6.9375,6.96875,6.875,6.875,0.6539114117622375,52400
1982-03-30,6.875,6.90625,6.8125,6.8125,0.6479673981666565,319200
1982-03-31,6.65625,6.8125,6.5,6.5,0.6182436347007751,320800
