Date,Open,High,Low,Close,Adj Close,Volume
1992-02-13,2.0,2.09375,2.0,2.046875,1.6529464721679688,18506400
1992-02-14,2.0625,2.28125,2.0625,2.25,1.8169785737991333,3128000
1992-02-18,2.21875,2.28125,2.0625,2.0625,1.6655651330947876,2584800
1992-02-19,2.09375,2.15625,2.03125,2.15625,1.7412718534469604,2454400
1992-02-20,2.125,2.28125,2.125,2.21875,1.7917448282241821,1304000
1992-02-21,2.21875,2.28125,2.21875,2.28125,1.8422147035598755,616800
1992-02-24,2.21875,2.3125,2.21875,2.3125,1.8674513101577759,772800
1992-02-25,2.265625,2.3125,2.25,2.28125,1.8422147035598755,517600
1992-02-26,2.3125,2.34375,2.25,2.34375,1.8926868438720703,851200
1992-02-27,2.28125,2.4375,2.28125,2.40625,1.9431593418121338,555200
1992-02-28,2.4375,2.59375,2.375,2.53125,2.0441009998321533,1108800
1992-03-02,2.59375,2.609375,2.46875,2.5625,2.06933856010437,873600
1992-03-03,2.546875,2.5625,2.4375,2.46875,1.9936301708221436,512000
1992-03-04,2.46875,2.53125,2.4375,2.4375,1.96839439868927,163200
1992-03-05,2.53125,2.53125,2.34375,2.34375,1.8926868438720703,707200
1992-03-06,2.390625,2.4375,2.34375,2.34375,1.8926868438720703,765600
1992-03-09,2.34375,2.4375,2.34375,2.390625,1.9305404424667358,766400
1992-03-10,2.34375,2.4375,2.34375,2.4375,1.96839439868927,93600
1992-03-11,2.5,2.53125,2.4375,2.453125,1.9810129404067993,222400
1992-03-12,2.4375,2.53125,2.4375,2.4375,1.96839439868927,89600
1992-03-13,2.4375,2.5625,2.4375,2.53125,2.0441009998321533,211200
1992-03-16,2.5,2.5625,2.5,2.5625,2.06933856010437,94400
1992-03-17,2.46875,2.5625,2.46875,2.46875,1.9936301708221436,150400
1992-03-18,2.46875,2.46875,2.46875,2.46875,1.9936301708221436,52000
1992-03-19,2.5625,2.5625,2.4375,2.4375,1.96839439868927,68800
1992-03-20,2.4375,2.53125,2.4375,2.53125,2.0441009998321533,124800
1992-03-23,2.4375,2.515625,2.4375,2.484375,2.0062477588653564,314400
1992-03-24,2.46875,2.515625,2.4375,2.4375,1.96839439868927,437600
1992-03-25,2.53125,2.53125,2.4375,2.46875,1.9936301708221436,79200
1992-03-26,2.40625,2.421875,2.40625,2.40625,1.9431593418121338,47200
1992-03-27,2.5,2.5,2.4375,2.5,2.0188658237457275,79200
1992-03-30,2.4375,2.5,2.4375,2.46875,1.9936301708221436,46400
1992-03-31,2.4375,2.5,2.4375,2.5,2.0188658237457275,107200
1992-04-01,2.4375,2.5,2.40625,2.4375,1.96839439868927,356000
1992-04-02,2.5,2.5,2.4375,2.46875,1.9936301708221436,51200
1992-04-03,2.4375,2.5,2.4375,2.46875,1.9936301708221436,116800
1992-04-06,2.4375,2.5,2.4375,2.4375,1.96839439868927,71200
1992-04-07,2.4375,2.5625,2.4375,2.5,2.0188658237457275,116000
1992-04-08,2.4375,2.5,2.4375,2.5,2.0188658237457275,247200
1992-04-09,2.4375,2.53125,2.4375,2.46875,1.9936301708221436,36000
1992-04-10,2.46875,2.53125,2.46875,2.46875,1.9936301708221436,87200
1992-04-13,2.46875,2.53125,2.46875,2.46875,1.9936301708221436,16000
1992-04-14,2.53125,2.53125,2.46875,2.46875,1.9936301708221436,25600
1992-04-15,2.46875,2.5,2.4375,2.4375,1.96839439868927,84800
1992-04-16,2.46875,2.5,2.4375,2.4375,1.96839439868927,62400
1992-04-20,2.40625,2.40625,2.375,2.375,1.9218651056289673,59200
1992-04-21,2.375,2.375,2.375,2.375,1.9218651056289673,7200
1992-04-22,2.375,2.46875,2.375,2.46875,1.9977279901504517,7200
1992-04-23,2.375,2.421875,2.375,2.375,1.9218651056289673,179200
1992-04-24,2.375,2.4375,2.34375,2.40625,1.9471534490585327,252800
1992-04-27,2.34375,2.4375,2.34375,2.34375,1.8965774774551392,62400
1992-04-28,2.3125,2.34375,2.25,2.25,1.8207136392593384,99200
1992-04-29,2.34375,2.34375,2.25,2.28125,1.8460015058517456,552000
1992-04-30,2.34375,2.34375,2.25,2.25,1.8207136392593384,128000
1992-05-01,2.3125,2.3125,2.3125,2.3125,1.8712900876998901,6400
1992-05-04,2.25,2.3125,2.25,2.3125,1.8712900876998901,38400
1992-05-05,2.25,2.25,2.203125,2.25,1.8207136392593384,55200
1992-05-06,2.1875,2.25,2.1875,2.1875,1.7701395750045776,461600
1992-05-07,2.1875,2.1875,2.125,2.125,1.7195639610290527,28800
1992-05-08,2.125,2.25,2.125,2.15625,1.7448517084121704,551200
1992-05-11,2.15625,2.25,2.15625,2.25,1.8207136392593384,135200
1992-05-12,2.15625,2.34375,2.15625,2.21875,1.7954280376434326,291200
1992-05-13,2.3125,2.3125,2.234375,2.234375,1.8080707788467407,52800
1992-05-14,2.21875,2.234375,2.21875,2.21875,1.7954280376434326,326400
1992-05-15,2.21875,2.21875,2.21875,2.21875,1.7954280376434326,800
1992-05-18,2.21875,2.21875,2.21875,2.21875,1.7954280376434326,2400
1992-05-19,2.21875,2.21875,2.21875,2.21875,1.7954280376434326,27200
1992-05-20,2.1875,2.25,2.15625,2.15625,1.7448517084121704,62400
1992-05-21,2.15625,2.15625,2.03125,2.09375,1.694276213645935,151200
1992-05-22,2.09375,2.09375,2.03125,2.0625,1.6689887046813965,77600
1992-05-26,1.9375,1.9375,1.75,1.921875,1.555193543434143,1848800
1992-05-27,1.875,2.0,1.875,1.96875,1.593125581741333,980000
1992-05-28,1.921875,2.0,1.84375,1.890625,1.5299060344696045,801600
1992-05-29,1.90625,1.90625,1.859375,1.875,1.5172619819641113,256000
1992-06-01,1.84375,1.90625,1.8125,1.875,1.5172619819641113,144800
1992-06-02,1.90625,1.90625,1.8125,1.859375,1.5046179294586182,235200
1992-06-03,1.90625,1.90625,1.8125,1.8125,1.466686725616455,50400
1992-06-04,1.8125,1.875,1.8125,1.875,1.5172619819641113,874400
1992-06-05,1.875,1.875,1.875,1.875,1.5172619819641113,4000
1992-06-08,1.90625,1.90625,1.90625,1.90625,1.542549967765808,1600
1992-06-09,1.8125,1.875,1.8125,1.828125,1.4793304204940796,1157600
1992-06-10,1.875,1.875,1.8125,1.8125,1.466686725616455,16800
1992-06-11,1.84375,1.875,1.8125,1.875,1.5172619819641113,36000
1992-06-12,1.875,1.875,1.8125,1.8125,1.466686725616455,104000
1992-06-15,1.8125,1.8125,1.71875,1.75,1.4161111116409302,316800
1992-06-16,1.78125,1.78125,1.71875,1.78125,1.4413987398147583,108000
1992-06-17,1.71875,1.75,1.71875,1.734375,1.4034669399261475,243200
1992-06-18,1.6875,1.703125,1.65625,1.6875,1.365535855293274,1378400
1992-06-19,1.65625,1.75,1.65625,1.75,1.4161111116409302,1427200
1992-06-22,1.75,1.75,1.6875,1.6875,1.365535855293274,14400
1992-06-23,1.65625,1.71875,1.65625,1.71875,1.3949565887451172,6400
1992-06-24,1.703125,1.703125,1.65625,1.671875,1.356912612915039,1123200
1992-06-25,1.75,1.75,1.625,1.625,1.3188676834106445,159200
1992-06-26,1.59375,1.65625,1.46875,1.5625,1.268142819404602,258400
1992-06-29,1.5625,1.59375,1.5625,1.59375,1.293505072593689,1517600
1992-06-30,1.59375,1.59375,1.46875,1.578125,1.2808241844177246,27200
1992-07-01,1.59375,1.625,1.59375,1.59375,1.293505072593689,194400
1992-07-02,1.6875,1.6875,1.59375,1.625,1.3188676834106445,143200
1992-07-06,1.609375,1.625,1.609375,1.625,1.3188676834106445,400000
1992-07-07,1.6875,1.6875,1.5625,1.5625,1.268142819404602,1510400
1992-07-08,1.5625,1.625,1.5,1.515625,1.2300978899002075,1468000
1992-07-09,1.46875,1.625,1.46875,1.53125,1.2427794933319092,408800
1992-07-10,1.5625,1.65625,1.5625,1.640625,1.3315497636795044,88000
1992-07-13,1.65625,1.65625,1.546875,1.578125,1.2808241844177246,198400
1992-07-14,1.53125,1.5625,1.53125,1.5625,1.268142819404602,644000
1992-07-15,1.609375,1.65625,1.59375,1.640625,1.3315497636795044,330400
1992-07-16,1.625,1.625,1.546875,1.578125,1.2808241844177246,175200
1992-07-17,1.5,1.5,1.4375,1.484375,1.2047348022460938,673600
1992-07-20,1.5,1.5625,1.4375,1.5,1.217416763305664,31200
1992-07-21,1.53125,1.53125,1.53125,1.53125,1.2427794933319092,5600
1992-07-22,1.4375,1.5625,1.4375,1.4375,1.1666913032531738,659200
1992-07-23,1.5625,1.5625,1.4375,1.53125,1.2427794933319092,177600
1992-07-24,1.4375,1.484375,1.4375,1.484375,1.2047348022460938,48000
1992-07-27,1.4375,1.53125,1.4375,1.53125,1.2427794933319092,4000
1992-07-28,1.5,1.515625,1.46875,1.46875,1.1920536756515503,587200
1992-07-29,1.46875,1.53125,1.46875,1.53125,1.2427794933319092,30400
1992-07-30,1.484375,1.625,1.46875,1.625,1.3188676834106445,1344000
1992-07-31,1.625,1.625,1.5625,1.5625,1.268142819404602,6400
1992-08-03,1.5625,1.6875,1.5625,1.6875,1.3695942163467407,77600
1992-08-04,1.625,1.671875,1.625,1.625,1.3188676834106445,247200
1992-08-05,1.703125,1.71875,1.6875,1.6875,1.3695942163467407,283200
1992-08-06,1.625,1.703125,1.625,1.703125,1.3822753429412842,7200
1992-08-07,1.625,1.65625,1.625,1.65625,1.3442312479019165,301600
1992-08-10,1.71875,1.71875,1.703125,1.703125,1.3822753429412842,80000
1992-08-11,1.671875,1.6875,1.625,1.625,1.3188676834106445,299200
1992-08-12,1.75,1.75,1.5625,1.625,1.3188676834106445,232000
1992-08-13,1.5625,1.5625,1.53125,1.546875,1.2554608583450317,480000
1992-08-14,1.59375,1.59375,1.59375,1.59375,1.293505072593689,6400
1992-08-17,1.59375,1.59375,1.53125,1.53125,1.2427794933319092,576800
1992-08-18,1.59375,1.59375,1.53125,1.546875,1.2554608583450317,142400
1992-08-19,1.53125,1.5625,1.53125,1.546875,1.2554608583450317,177600
1992-08-20,1.546875,1.546875,1.546875,1.546875,1.2554608583450317,0
1992-08-21,1.53125,1.5625,1.53125,1.5625,1.268142819404602,27200
1992-08-24,1.46875,1.59375,1.46875,1.59375,1.293505072593689,38400
1992-08-25,1.515625,1.53125,1.5,1.515625,1.2300978899002075,196000
1992-08-26,1.46875,1.5625,1.46875,1.515625,1.2300978899002075,2765600
1992-08-27,1.46875,1.515625,1.46875,1.484375,1.2047348022460938,93600
1992-08-28,1.53125,1.53125,1.53125,1.53125,1.2427794933319092,8000
1992-08-31,1.5625,1.5625,1.46875,1.46875,1.1920536756515503,10400
1992-09-01,1.46875,1.546875,1.46875,1.5,1.217416763305664,138400
1992-09-02,1.46875,1.46875,1.46875,1.46875,1.1920536756515503,20000
1992-09-03,1.5625,1.59375,1.5,1.5625,1.268142819404602,556000
1992-09-04,1.5,1.578125,1.5,1.578125,1.2808241844177246,5600
1992-09-08,1.546875,1.5625,1.5,1.515625,1.2300978899002075,352800
