Date,Open,High,Low,Close,Adj Close,Volume
1999-11-10,65.0,70.3125,64.5,68.25,36.30058288574219,80793700
1999-11-11,68.75,76.9375,68.75,75.0,39.890743255615234,28309000
1999-11-12,76.0,76.625,69.25,70.5,37.497283935546875,14768100
1999-11-15,70.5,70.875,67.3125,69.0,36.69948959350586,8675100
1999-11-16,67.875,68.0,65.0,66.0,35.10383224487305,6978600
1999-11-17,65.5625,68.1875,65.125,67.6875,36.00138473510742,5806900
1999-11-18,67.9375,68.9375,66.125,66.3125,35.27006149291992,4718700
1999-11-19,66.3125,66.3125,64.25,65.0,34.571964263916016,5091100
1999-11-22,64.0625,64.25,61.0,63.125,33.57468795776367,4785400
1999-11-23,63.375,67.0,63.25,66.1875,35.20356369018555,2832200
1999-11-24,66.0,68.1875,65.9375,67.6875,36.16532897949219,2179400
1999-11-26,68.4375,69.4375,68.1875,69.125,36.933353424072266,1322500
1999-11-29,70.0,70.25,67.0,68.125,36.399070739746094,1987000
1999-11-30,67.375,67.625,66.0625,66.0625,35.29708480834961,1686100
1999-12-01,66.25,67.375,65.625,65.875,35.19689178466797,1405700
1999-12-02,66.0,67.0625,65.875,67.0625,35.831363677978516,1391000
1999-12-03,67.4375,67.6875,66.3125,66.4375,35.4974250793457,1753500
1999-12-06,66.5,66.5,65.375,66.25,35.39726257324219,1398900
1999-12-07,65.9375,68.0,65.875,68.0,36.33226776123047,1793100
1999-12-08,68.0,68.375,66.75,68.375,36.53263473510742,1774000
1999-12-09,68.375,68.75,66.625,67.5,36.06513595581055,1713600
1999-12-10,66.375,67.0,65.375,66.125,35.33047866821289,1248600
1999-12-13,66.375,66.9375,64.875,66.0,35.263668060302734,1417800
1999-12-14,66.0,66.0,64.75,65.0,34.7293815612793,1886600
1999-12-15,65.0,65.0625,63.6875,63.75,34.0615119934082,1602800
1999-12-16,63.75,64.0625,63.25,64.0,34.195091247558594,1364600
1999-12-17,64.75,67.625,64.6875,66.625,35.597625732421875,1980800
1999-12-20,67.6875,68.5,66.9375,68.5,36.59943389892578,1501300
1999-12-21,68.25,69.0,67.5,69.0,36.86659622192383,1265200
1999-12-22,68.9375,68.9375,66.0625,67.0,35.79795837402344,1264700
1999-12-23,66.5,67.875,65.625,67.75,36.198699951171875,1180600
1999-12-27,68.5,69.6875,67.5,69.6875,37.23390579223633,1478800
1999-12-28,69.5,69.6875,68.0625,69.0,36.86659622192383,1051400
1999-12-29,69.0,69.375,67.5625,68.0,36.33226776123047,904700
1999-12-30,69.25,69.5,68.0,68.0,36.33226776123047,926700
1999-12-31,68.875,69.5,68.375,69.0,36.86659622192383,649300
2000-01-03,69.6875,69.75,67.0,67.0625,35.831363677978516,1273200
2000-01-04,67.0,67.0,64.625,64.9375,34.695987701416016,1385800
2000-01-05,64.875,68.0,64.75,68.0,36.33226776123047,1401700
2000-01-06,65.875,68.125,65.0,68.0,36.33226776123047,1959100
2000-01-07,67.625,67.625,65.75,66.375,35.46403884887695,996000
