Date,Open,High,Low,Close,Adj Close,Volume
1995-06-16,7.5,8.0,7.4375,7.5,6.828514099121094,6212400
1995-06-19,7.5625,7.625,7.0625,7.1875,6.543990135192871,1528200
1995-06-20,7.25,7.3125,7.1875,7.1875,6.543990135192871,863000
1995-06-21,7.25,7.25,7.0,7.0625,6.430182456970215,629000
1995-06-22,7.0625,7.5625,7.0,7.3125,6.657800197601318,546200
1995-06-23,7.375,7.4375,7.25,7.3125,6.657800197601318,365000
1995-06-26,7.3125,7.375,7.0,7.0625,6.430182456970215,515400
1995-06-27,7.125,7.125,7.0,7.0,6.373280048370361,270800
1995-06-28,7.0625,7.0625,7.0,7.0,6.373280048370361,500400
1995-06-29,7.0,7.125,7.0,7.0,6.373280048370361,309200
1995-06-30,7.0625,7.1875,7.0625,7.125,6.487088680267334,95000
1995-07-03,7.0625,7.125,7.0625,7.0625,6.430182456970215,9200
1995-07-05,7.125,7.125,7.0625,7.0625,6.430182456970215,75600
1995-07-06,7.0625,7.125,7.0625,7.0625,6.430182456970215,81400
1995-07-07,7.0625,7.625,7.0625,7.5625,6.885416507720947,475000
1995-07-10,7.5,7.75,7.5,7.75,7.056130409240723,241400
1995-07-11,7.625,8.5625,7.625,8.5,7.7389817237854,538600
1995-07-12,8.5,9.0625,8.375,9.0,8.194215774536133,496200
1995-07-13,9.0,9.0,8.8125,8.9375,8.137310981750488,384000
1995-07-14,8.9375,8.9375,8.75,8.9375,8.137310981750488,102200
1995-07-17,9.0625,9.5,9.0625,9.4375,8.59254264831543,480200
1995-07-18,9.4375,9.4375,9.0,9.0625,8.251119613647461,359200
1995-07-19,9.0,9.0,8.8125,8.875,8.08041000366211,101600
1995-07-20,8.75,8.75,8.4375,8.6875,7.9096903800964355,119600
1995-07-21,8.75,8.75,8.6875,8.6875,7.9096903800964355,13000
1995-07-24,8.6875,8.8125,8.5625,8.5625,7.795886039733887,112000
1995-07-25,8.5625,8.8125,8.5625,8.75,7.9665961265563965,201000
1995-07-26,8.875,9.1875,8.875,9.125,8.308023452758789,287800
1995-07-27,9.1875,9.375,9.1875,9.3125,8.478737831115723,101600
1995-07-28,9.375,9.4375,9.3125,9.3125,8.478737831115723,100400
1995-07-31,9.375,9.375,9.0625,9.25,8.421833038330078,60800
1995-08-01,9.1875,9.1875,9.0,9.0625,8.251119613647461,57600
1995-08-02,9.0,9.0,8.875,8.875,8.08041000366211,41000
1995-08-03,8.8125,8.8125,8.75,8.75,7.9665961265563965,12600
1995-08-04,8.625,8.6875,8.5625,8.625,7.852786064147949,9000
1995-08-07,8.5625,8.75,8.5625,8.6875,7.9096903800964355,12200
1995-08-08,8.625,8.6875,8.5625,8.5625,7.795886039733887,3200
1995-08-09,8.4375,8.4375,8.1875,8.1875,7.454462051391602,24000
1995-08-10,8.25,8.25,8.125,8.125,7.397557735443115,6800
1995-08-11,8.125,8.125,8.125,8.125,7.397557735443115,10000
1995-08-14,8.0625,8.125,7.9375,8.0,7.28374719619751,28200
1995-08-15,8.0,8.0625,8.0,8.0,7.28374719619751,9400
1995-08-16,8.0625,8.25,8.0625,8.1875,7.454462051391602,11800
1995-08-17,8.1875,8.3125,8.1875,8.25,7.511363506317139,6200
1995-08-18,8.375,8.375,8.25,8.25,7.511363506317139,9800
1995-08-21,8.25,8.4375,8.25,8.375,7.6251749992370605,8600
1995-08-22,8.3125,8.4375,8.3125,8.4375,7.68208122253418,12400
1995-08-23,8.5,8.6875,8.5,8.5625,7.795886039733887,28800
1995-08-24,8.625,8.75,8.625,8.75,7.9665961265563965,16200
1995-08-25,8.625,8.625,8.5625,8.5625,7.795886039733887,30200
1995-08-28,8.5625,8.5625,8.4375,8.4375,7.68208122253418,9200
1995-08-29,8.375,8.375,8.1875,8.1875,7.454462051391602,9200
1995-08-30,8.25,8.25,8.1875,8.1875,7.454462051391602,1400
1995-08-31,8.125,8.1875,8.125,8.125,7.397557735443115,13800
