Ticker,Buy Date,Buy Price,Buy P/E Ratio,Buy Fwd P/E Ratio,Buy P/B Ratio,Buy RSI,Buy Upper BB,Buy Bollinger %b,Buy Lower BB,Buy vol,Buy Z Score,Buy MACD,Buy VWAP,Buy OBV,Buy Stoch,Buy Awesome Oscillator,Buy Ultimate Oscillator,Buy TSI,Buy Acum/Dist,Sell Date,Sell Price,Sell P/E Ratio,Sell Fwd P/E Ratio,Sell P/B Ratio,Sell RSI,Sell Upper BB,Sell Bollinger %b,Sell Lower BB,Sell vol,Sell Z Score,Sell MACD,Sell VWAP,Sell OBV,Sell Stoch,Sell Awesome Oscillator,Sell Ultimate Oscillator,Sell TSI,Sell Acum/Dist,Profit,Profit %,Duration,Ticker Cum Profit,Ticker Cum Profit %,Profitable,Returns,Returns %,Cumulative Returns %
HCA,2022-04-01,251.0,0.0,0.0,0.0,24.211988433036865,271.2197482082802,-0.048256552108175345,251.4302517917198,4.947374104140091,-2.137497544636973,-2.1540891385753693,261.2148014648198,-2618000,1.950718685831597,1.286617647058847,41.99532054795196,-1.4708827783712919,371708.79840552923,2022-04-21,273.98,0.0,0.0,0.0,65.33580614682968,273.31780080048213,0.8817561398546876,243.00119919951783,7.579150400241081,1.4883594340127095,1.6184903663301622,258.0360141305473,-1625800,74.19181034482762,4.930970588235311,52.95690673049473,10.235160132710105,767474.7524954053,22.980000000000018,9.16,20,22.980000000000018,9.16,Yes,22.980000000000018,9.155378486055785,0.0
HAS,2022-04-01,82.34,0.0,0.0,0.0,43.78688975380294,91.9028004360582,0.22000686647527812,82.26019956394181,2.410650218029099,-1.09161419616964,-0.2779356679865841,86.38087586589081,519400,35.11205976520816,-6.482647058823517,47.008239750571185,-15.532739290281214,-3451806.6792142065,2022-04-21,89.27,0.0,0.0,0.0,68.20473131140203,88.51775745962617,1.003099775768551,81.48824254037386,1.7573787298130774,1.9614440197342247,0.781753146110755,85.3450631335652,1053000,82.00992555831263,-0.322852941176464,56.433194692999585,-2.741362324943813,-694408.2749228621,6.929999999999993,8.42,20,6.929999999999993,8.42,Yes,6.929999999999993,8.416322564974486,9.16
UHS,2022-04-05,139.7,16.74389,11.495973,1.8714491,20.430432651024702,153.3306576342675,-0.10100932058436687,140.35334236573252,3.244328817133742,-2.343165698819678,-1.4322201338706018,145.74599420931307,-564100,8.786610878661191,-1.0825882352941392,38.51506704501063,2.3190475497398113,1118319.643594062,2022-04-21,155.75,16.74389,11.495973,1.8714491,76.0177970086271,156.20617515198686,0.9137151696011003,138.4698248480132,4.434087575993421,1.6129586701718763,0.8993078641568644,147.6234105751321,4142300,81.13489298158292,5.008500000000026,46.48831082033016,20.247857623005267,1910665.325935092,16.05000000000001,11.49,16,16.05000000000001,11.49,Yes,16.05000000000001,11.48890479599142,17.57
WHR,2022-04-01,174.75,12.446736,7.277964,2.530213,24.356450650777575,199.95336518213534,-0.03627670469396945,173.05063481786468,6.725682591067664,-2.0907915010255858,-1.2316137782360537,185.1511535911602,-5783400,11.827956989247303,-12.96976470588234,37.62949696473793,-25.499064977722597,-12596351.75679704,2022-04-27,184.25,12.446736,7.277964,2.530213,60.591797163973766,184.93682294207804,0.9103185834748005,165.7821770579219,4.788661471039038,1.599716339592883,2.013411190779315,178.42059485401063,3139500,60.95551894563428,0.13891176470588107,50.41939341618298,-6.737039101336308,-14461359.038059238,9.5,5.44,26,9.5,5.44,Yes,9.5,5.436337625178827,29.06
AVY,2022-04-19,164.67,34.833874,20.529467,8.16985,43.106665431867036,174.72750998739096,0.28834761305071344,158.77449001260905,3.988254993695479,-0.8251729152730497,-0.5671934269248606,171.21028382171093,-5316300,0.300120048019276,-0.5920588235293849,-6.517046926877195,-6.758611171555047,-95775181.59133999,2022-04-28,181.86,34.833874,20.529467,8.16985,76.06721829775915,176.3360698084354,1.0812448074927707,158.53993019156462,4.449034904217697,2.266109441048042,1.2865329497760964,171.32316532324944,-1036200,69.07501150483206,2.741205882352915,13.87274838495546,5.110966194871968,-107254456.96256879,17.190000000000026,10.44,9,17.190000000000026,10.44,Yes,17.190000000000026,10.439059938057952,34.5
ALLE,2022-04-07,106.11,21.411764,17.333332,8.698307,34.956756291269,116.60082259122815,0.12575043343072348,104.13417740877183,3.1166612956140765,-1.459093423593854,-0.5351889063046957,111.07552736837773,-3946900,-1.3921113689095648,-4.219852941176484,-14.03922104841455,-21.972432481059567,-78641178.99552767,2022-04-29,118.21,21.411764,17.333332,8.698307,52.62647957148719,115.56534571924531,0.7299999942120692,100.71765428075467,3.711922859622663,0.8967050571569165,1.0183060186654973,111.91882194557952,-1735500,41.78617992177311,3.0506470588235146,10.986230971507029,4.845764288892222,-100288127.08664562,12.099999999999994,11.4,22,12.099999999999994,11.4,Yes,12.099999999999994,11.403260767128447,44.94
PTC,2022-04-07,100.64,94.116165,30.449348,7.9308,41.03282115888371,113.9111579843384,0.21802534582151606,101.1198420156616,3.1978289921692022,-1.0993395858905242,-0.46754850523502234,107.67283925389734,-3838900,29.708222811671078,-2.4522352941176564,38.23949347330228,-10.335663443629558,1393964.840260331,2022-04-29,114.1,94.116165,30.449348,7.9308,79.13735990067201,112.56966674779049,1.099777761642216,93.1783332522095,4.847833373895249,2.3383641981266137,1.5172275196807674,104.57307420468739,-5413700,80.49225159525979,-0.41499999999999204,50.01167135118873,-1.7462745757692997,-1697074.414626511,13.459999999999994,13.37,22,13.459999999999994,13.37,Yes,13.459999999999994,13.37440381558028,56.34
NXPI,2022-04-11,165.43,23.694107,16.257381,7.5363736,16.231868871768057,200.43874864448986,-0.04007832872768559,166.4182513555101,8.505124322244944,-2.105612960078753,-2.0690995636126663,179.26421198230213,-27296700,2.4367088607595266,-11.504500000000007,41.70767191223069,-13.33803122799638,-1371390.2691763053,2022-05-05,180.64,23.694107,16.257381,7.5363736,53.355699393872115,183.75878135194105,0.7456735106500129,163.07621864805893,5.170640675970532,0.9578116737091633,1.5323381041033715,175.1078341784491,-12429600,62.407862407862424,-1.8850882352941198,60.1486414944684,-1.5895492999152507,1850665.8918458954,15.20999999999998,9.19,24,15.20999999999998,9.19,Yes,15.20999999999998,9.194221120715698,69.71
HON,2022-04-28,187.78,23.646988,18.375229,8.233577,44.81746123437042,198.9483897971397,0.2656035689653544,186.5546102028603,3.098444898569856,-0.9138455233807566,-0.8025646586207553,192.22596772930854,11393100,30.443285528031204,-3.2217352941176216,38.88826274466333,-3.650867239788945,-27805097.110959865,2022-05-05,203.7,23.646988,18.375229,8.233577,54.990544088633555,202.49326970533764,0.745945454204203,184.7307302946624,4.440634852668802,0.9588719048675983,0.8986928400842397,195.470100174172,30825700,59.66903073286053,4.372058823529414,48.226070070598816,8.878231776341448,-31478846.02566181,15.919999999999987,8.48,7,15.919999999999987,8.48,Yes,15.919999999999987,8.47800617744168,78.91
GLW,2022-04-06,35.22,48.382355,15.231482,2.3354867,19.323373397252368,39.14811867404645,-0.10009628480096278,35.25088132595355,0.974309337023226,-2.3396060300155566,-0.14765072624710018,37.406603441348885,-7410200,5.955334987593099,-2.046882352941168,37.063426405940234,-22.540864271624248,-62747521.01441823,2022-05-05,36.78,48.382355,15.231482,2.3354867,59.751095208319526,37.1874438393998,0.8641169914390852,32.656556160600196,1.1327219196999003,1.4195893732029325,0.39537097203562743,35.3294461326669,7147000,80.97560975609753,0.19167647058824144,58.48723700888498,-1.0964195013594957,-60075916.68179656,1.5600000000000023,4.43,29,1.5600000000000023,4.43,Yes,1.5600000000000023,4.4293015332197685,87.39
